"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 10:04:32.953","0","0","0","0"," "," "," "," ","0"," "," ","0","0","0"," ","0"," "," "
"07/14/2008 10:04:33.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.384620307692305"
"07/14/2008 10:04:34.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.28125"
"07/14/2008 10:04:35.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.25"
"07/14/2008 10:04:36.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.796869999999998"
"07/14/2008 10:04:37.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.53125"
"07/14/2008 10:04:38.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.265630000000002"
"07/14/2008 10:04:39.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:04:40.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:04:41.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.046869999999998"
"07/14/2008 10:04:42.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:04:43.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.703130000000002"
"07/14/2008 10:04:44.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:04:45.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:04:46.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.828119999999998"
"07/14/2008 10:04:47.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:04:48.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.78125"
"07/14/2008 10:04:49.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.390630000000002"
"07/14/2008 10:04:50.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.4375"
"07/14/2008 10:04:51.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609369999999998"
"07/14/2008 10:04:52.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.921880000000002"
"07/14/2008 10:04:53.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:04:54.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.65625"
"07/14/2008 10:04:55.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609369999999998"
"07/14/2008 10:04:56.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.828130000000002"
"07/14/2008 10:04:57.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.046869999999998"
"07/14/2008 10:04:58.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:04:59.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.78125"
"07/14/2008 10:05:00.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:01.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.921880000000002"
"07/14/2008 10:05:02.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:03.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:04.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609369999999998"
"07/14/2008 10:05:05.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:06.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.921880000000002"
"07/14/2008 10:05:07.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.484369999999998"
"07/14/2008 10:05:08.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:09.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:10.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.828130000000002"
"07/14/2008 10:05:11.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:12.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609369999999998"
"07/14/2008 10:05:13.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609380000000002"
"07/14/2008 10:05:14.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:15.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:16.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"07/14/2008 10:05:17.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:18.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.96875"
"07/14/2008 10:05:19.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.265619999999998"
"07/14/2008 10:05:20.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.828130000000002"
"07/14/2008 10:05:21.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609369999999998"
"07/14/2008 10:05:22.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.484380000000002"
"07/14/2008 10:05:23.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.65625"
"07/14/2008 10:05:24.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:25.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.78125"
"07/14/2008 10:05:26.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.21875"
"07/14/2008 10:05:27.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.78125"
"07/14/2008 10:05:28.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.921869999999998"
"07/14/2008 10:05:29.968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609380000000002"
