"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 08:40:55.500","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 08:40:56.515","0","0","512","0","0","0","0","0","0","0","0","0","0","512","0","0","0","26.538466461538455"
"07/22/2008 08:40:57.515","0","0","512","350000","349972.36390280473","0","0","0","0","0","0","5131","0","475","290503.05998636072","1","0","27.34375"
"07/22/2008 08:40:58.531","0","0","512","2729000","2342373.2043062192","0","0","0","0","0","0","5131","0","459","1809259.3028889839","36","12098.815441157974","19.23076923076923"
"07/22/2008 08:40:59.546","0","0","512","4850000","2088355.4034590176","0","0","0","0","0","0","5131","0","455","1577098.2347222464","67","0","17.307687384615388"
"07/22/2008 08:41:00.546","0","0","512","5965000","1114970.6027738098","0","0","0","0","0","0","5131","0","447","899393.28666817199","77","0","7.03125"
"07/22/2008 08:41:01.546","0","0","512","7698000","1732947.544333529","0","0","0","0","0","0","5131","0","426","1421789.9629557845","77","0","13.28125"
"07/22/2008 08:41:02.546","0","0","512","12093000","4394584.7828470068","0","0","0","0","0","0","5131","0","408","3612849.6441683187","77","0","35.9375"
"07/22/2008 08:41:03.546","0","0","512","14895000","2802105.0145780016","0","0","0","0","0","0","5131","0","407","2282660.5473413211","80","4096.153511674338","19.53125"
"07/22/2008 08:41:04.546","0","0","512","18356000","3460880.7179109822","0","0","0","0","0","0","5131","0","402","2869945.0849916521","80","0","23.046880000000002"
"07/22/2008 08:41:05.546","0","0","512","21974000","3617910.3764354941","0","0","0","0","0","0","5131","0","401","2995135.803925748","80","0","25"
"07/22/2008 08:41:06.562","0","0","512","25487000","3458871.4313241025","0","0","0","0","0","0","5131","0","401","2862350.5062184106","80","0","24.615384615384617"
"07/22/2008 08:41:07.562","0","0","512","28928000","3440905.2128484882","0","0","0","0","0","0","5131","0","400","2842622.6938301688","81","0","23.046869999999998"
"07/22/2008 08:41:08.562","0","0","512","31959000","3030867.1473878361","0","0","0","0","0","0","5131","0","400","2501144.3668335252","81","12287.46140122129","19.921880000000002"
"07/22/2008 08:41:09.578","0","0","512","35640000","3624322.4173757029","0","0","0","0","0","0","5131","0","400","2989192.6517692897","81","0","24.230764307692311"
"07/22/2008 08:41:10.578","0","0","512","38376000","2735935.3232974159","0","0","0","0","0","0","5131","0","400","2254358.7076263065","81","0","25.390630000000002"
"07/22/2008 08:41:11.593","0","0","512","42059000","3626225.6828664113","0","0","0","0","0","0","5131","0","399","2993088.4508905094","81","0","25.384615384615383"
"07/22/2008 08:41:12.593","0","0","512","45762000","3702892.0944445725","0","0","0","0","0","0","5131","0","398","3055793.9514576187","81","0","25.390619999999998"
"07/22/2008 08:41:13.593","0","0","512","49503000","3740765.1483477196","0","0","0","0","0","0","5131","0","398","3081293.5511057391","81","4095.7428622379734","25.390630000000002"
"07/22/2008 08:41:14.593","0","0","512","53049000","3545960.3610910997","0","0","0","0","0","0","5131","0","401","2928034.268646061","84","0","23.828119999999998"
"07/22/2008 08:41:15.593","0","0","512","56653000","3603960.0641167378","0","0","0","0","0","0","5131","0","399","2985087.9219079413","84","0","25"
"07/22/2008 08:41:16.593","0","0","512","60352000","3698887.0928828288","0","0","0","0","0","0","5131","0","398","3049010.9301047325","84","0","24.21875"
"07/22/2008 08:41:17.593","0","0","512","62649000","2296944.5380962212","0","0","0","0","0","0","5131","0","398","1884723.4915642475","84","0","25.390630000000002"
"07/22/2008 08:41:18.593","0","0","512","65542000","2892894.3492028844","0","0","0","0","0","0","5131","0","390","2264188.3100463063","93","8191.7008325855613","25.390619999999998"
"07/22/2008 08:41:19.593","0","0","512","68893000","3350921.363235868","0","0","0","0","0","0","5131","0","385","2737399.760874101","93","0","22.65625"
"07/22/2008 08:41:20.593","0","0","512","72589000","3695639.3609214034","0","0","0","0","0","0","5131","0","385","3038670.4712503343","93","0","25"
"07/22/2008 08:41:21.593","0","0","512","76359000","3770109.4543345538","0","0","0","0","0","0","5131","0","384","3094237.8323369632","93","0","25.390630000000002"
"07/22/2008 08:41:22.593","0","0","512","80111000","3751898.0528244996","0","0","0","0","0","0","5131","0","384","3087406.1085061603","93","0","25"
"07/22/2008 08:41:23.593","0","0","512","83769000","3657934.8712837263","0","0","0","0","0","0","5131","0","384","3010266.4028766612","93","4095.9270729300551","24.21875"
"07/22/2008 08:41:24.593","0","0","512","87368000","3598887.8240687228","0","0","0","0","0","0","5131","0","382","2957036.8303141203","93","0","24.21875"
"07/22/2008 08:41:25.609","0","0","512","91189000","3762053.6125444211","0","0","0","0","0","0","5131","0","382","3092875.7417088337","93","0","24.999995076923078"
"07/22/2008 08:41:26.609","0","0","512","93185000","1995679.7647548893","0","0","0","0","0","0","5131","0","382","1629159.5781396176","93","0","23.046880000000002"
"07/22/2008 08:41:27.609","0","0","512","96090000","2905305.881306197","0","0","0","0","0","0","5131","0","382","2392105.8497162657","93","0","25.390619999999998"
