"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/11/2008 14:00:30.265","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/11/2008 14:00:31.281","0","0","512","0","0","0","0","0","0","0","0","0","0","512","0","0","12249.400862354296","22.692302769230764"
"07/11/2008 14:00:32.281","0","17","479","73000","72997.071242218895","0","0","0","0","0","0","5131","0","496","68613.247128165647","0","0","30.078130000000002"
"07/11/2008 14:00:33.296","376","269","195","2646000","2533325.9754793118","0","0","0","0","0","0","5131","0","464","2078808.109169025","19","0","21.153841230769231"
"07/11/2008 14:00:34.296","1099","9","448","4540000","1893996.0693000148","0","0","0","0","0","0","5131","0","457","1645987.5840038017","28","46313375.883651681","17.578130000000002"
"07/11/2008 14:00:35.296","1287","89","368","5606000","1065974.319758021","0","0","0","0","0","0","5131","0","457","876094.89411737188","41","47533446.878213011","9.7656199999999966"
"07/11/2008 14:00:36.296","1731","22","287","7699000","2092939.7767933048","0","0","0","0","0","0","5131","0","455","1705185.934199776","63","15793721.544230374","18.359380000000002"
"07/11/2008 14:00:37.296","2038","102","345","8708000","1008986.2298990198","0","0","0","0","0","0","5131","0","447","876562.03715312527","63","63224993.139324404","9.375"
"07/11/2008 14:00:38.296","2197","160","284","9575000","866984.06175178627","0","0","0","0","0","0","5131","0","444","739963.39684302371","75","14827247.422498092","9.7656199999999966"
"07/11/2008 14:00:39.296","2571","93","351","10836000","1260980.2468774617","0","0","0","0","0","0","5131","0","444","1117890.4883634332","75","30473762.631723247","10.15625"
"07/11/2008 14:00:40.296","2869","328","109","13017000","2180773.5987230344","0","0","0","0","0","0","5131","0","437","1858580.0478767587","75","9133131.8260541465","17.578130000000002"
"07/11/2008 14:00:41.296","3673","28","409","15984000","2967132.1541336174","452179.13976437558","452196.14052157826","0","0","0","0","5131","0","437","2625833.9529340276","75","55966140.695455179","28.125"
"07/11/2008 14:00:42.296","4196","57","184","19019000","3034987.0208048141","0","0","0","0","0","0","5131","0","428","2631321.7470890917","75","33820527.365699105","28.125"
"07/11/2008 14:00:43.296","4852","81","340","21044000","2024930.3286883717","0","0","0","0","0","0","5131","0","421","1805565.8763105813","75","67933918.613302395","22.265619999999998"
"07/11/2008 14:00:44.453","5026","24","395","21520000","407105.67046202259","0","0","0","0","0","0","5131","0","419","364504.96994581807","77","43127419.990549169","3.0405448648648692"
"07/11/2008 14:00:45.468","5082","304","104","22899000","1375322.3364536122","0","0","0","0","0","0","5131","0","408","1111134.7838846904","80","1560499.1666595694","11.538461538461542"
"07/11/2008 14:00:46.468","6335","141","258","27693000","4793889.2748358594","164355.20386373528","164371.20349418948","0","0","0","0","5131","0","396","4220864.5100729493","80","4718483.0165052749","47.265619999999998"
"07/11/2008 14:00:47.468","6762","5","392","28885000","1191967.1544532988","0","0","0","0","0","0","5131","0","396","1082096.1820301428","80","73664530.118761063","12.5"
"07/11/2008 14:00:48.500","6863","1","396","29290000","388249.38139106607","0","0","0","0","0","0","5131","0","396","336169.3217791341","80","53452687.019946866","2.2727272727272707"
"07/11/2008 14:00:49.515","6982","70","137","30839000","1543180.0204660376","0","0","0","0","0","0","5131","0","396","1309511.2833451149","80","26719836.282990038","11.923081846153849"
"07/11/2008 14:00:50.515","7457","59","337","31956000","1116982.7874035898","0","0","0","0","0","0","5131","0","395","1029881.1296316875","80","51903712.16882997","9.375"
"07/11/2008 14:00:51.531","7921","403","0","35516000","3505141.8616646458","130839.26589073871","130839.26589073871","0","0","0","0","5131","0","395","3000110.9794138158","80","371025.17359966622","26.923076923076927"
"07/11/2008 14:00:52.546","8543","43","355","37105000","1564413.5221361145","254286.60650590438","254300.38988495403","0","0","0","0","5131","0","395","1422909.4147040318","80","90613036.542771697","12.692302769230768"
"07/11/2008 14:00:53.546","9304","88","308","40425000","3320192.5135623668","0","0","0","0","0","0","5131","0","395","2914946.0162963178","80","3641555.1470196513","27.34375"
"07/11/2008 14:00:54.546","9621","34","346","41559000","1133915.8374299209","0","0","0","0","0","0","5131","0","392","1006115.3231601517","80","66579634.263629816","10.546880000000003"
"07/11/2008 14:00:55.546","9709","301","91","42966000","1407042.7984702424","0","0","0","0","0","0","5131","0","391","1183794.0078404672","80","35763263.822619289","11.71875"
"07/11/2008 14:00:56.546","10281","167","225","44741000","1774966.1251610934","0","0","0","0","0","0","5131","0","391","1592115.6148229488","80","49347666.210621826","13.28125"
"07/11/2008 14:00:57.546","11005","335","57","48403000","3661885.7331388071","0","0","0","0","0","0","5131","0","391","3183362.6651527947","80","1638348.8763447902","30.46875"
"07/11/2008 14:00:58.546","11619","23","375","50392000","1988967.7913977113","391183.66531768261","391188.66523671575","0","0","0","0","5131","0","392","1771349.3154301131","83","91879984.129819334","17.96875"
"07/11/2008 14:00:59.546","11947","86","311","52005000","1612816.4870890656","0","0","0","0","0","0","5131","0","392","1411717.3689760296","83","24573203.959516972","13.671869999999997"
"07/11/2008 14:01:00.546","12207","168","88","55176000","3171228.2085097297","602277.34119320358","602281.34148107306","0","0","0","0","5131","0","392","2675395.5273067974","83","29526092.762137685","25.78125"
"07/11/2008 14:01:01.546","13027","63","332","57539000","2362949.312488582","0","0","0","0","0","0","5131","0","391","2124702.423111083","83","92166214.946980789","22.65625"
"07/11/2008 14:01:02.546","13337","398","0","60395000","2855965.092940235","114373.60206759082","114404.60168869766","0","0","0","0","5131","0","382","2439551.1825631061","83","8888211.3637543935","24.609380000000002"
"07/11/2008 14:01:03.546","14003","162","230","63471000","3075936.267443317","650615.51942470018","650648.51874096342","0","0","0","0","5131","0","382","2674260.5900532971","83","20512342.989873443","31.640619999999998"
"07/11/2008 14:01:04.546","14566","107","215","65925000","2453896.5676175933","43728.156846747093","43731.156720301638","0","0","0","0","5131","0","381","2151594.3097368628","84","61208044.064927094","21.09375"
"07/11/2008 14:01:05.546","15026","141","246","67686000","1760993.5652505055","0","0","0","0","0","0","5131","0","379","1580962.2230931066","84","85376712.029663801","17.578130000000002"
"07/11/2008 14:01:06.546","15565","394","0","71091000","3404609.8901050556","90030.684027885261","90038.683111327511","0","0","0","0","5131","0","379","2948948.1011302141","84","1462104.4679071072","27.34375"
"07/11/2008 14:01:07.546","16198","33","354","73617000","2526168.9245480183","706653.25380014931","706676.25533825881","0","0","0","0","5131","0","379","2220502.4846777082","84","91150287.206428379","21.09375"
"07/11/2008 14:01:08.546","16868","34","352","76365000","2747976.5731356195","0","0","0","0","0","0","5131","0","378","2413917.4210341526","84","10244008.668468816","23.4375"
"07/11/2008 14:01:10.531","17460","69","318","79750000","1702822.788471574","206010.87138139817","206021.93847189931","0","0","0","0","5131","0","377","1478711.1875259853","84","55495204.951008111","15.157477795275586"
"07/11/2008 14:01:11.531","18009","255","131","82768000","3028412.7960469434","0","0","0","0","0","0","5131","0","376","2622263.3048480074","84","12700308.327024382","25.78125"
"07/11/2008 14:01:12.546","18599","38","348","84310000","1518237.5274498649","14531.561392757818","14538.453521611353","0","0","0","0","5131","0","376","1376742.1220868169","84","82177995.131440207","14.615384615384619"
"07/11/2008 14:01:13.546","19054","136","250","86587000","2276780.9629480834","0","0","0","0","0","0","5131","0","376","1982933.2324837309","84","7171406.0769592002","18.75"
"07/11/2008 14:01:14.546","19529","46","207","89766000","3179188.4149442227","528436.31783535762","528450.31866511831","0","0","0","0","5131","0","376","2729119.7415757645","84","39389470.421211869","26.953130000000002"
"07/11/2008 14:01:15.546","19833","267","112","91360000","1593969.4240365683","0","0","0","0","0","0","5131","0","369","1395589.2294204638","85","68160228.531598374","13.671869999999997"
"07/11/2008 14:01:16.546","20694","255","121","94830000","3469927.0891415984","0","0","0","0","0","0","5131","0","366","3086839.1386684603","86","18742902.170086272","28.90625"
"07/11/2008 14:01:17.546","21324","17","366","96586000","1755954.5237570049","75085.055424454578","75104.054932399551","0","0","0","0","5131","0","366","1599370.5790155118","86","52230839.309877247","14.453130000000003"
"07/11/2008 14:01:18.796","21324","139","0","98214000","1293305.2045782339","58011.252616167658","58011.252616167658","0","0","0","0","5131","0","363","1062981.688203441","86","46908478.46953468","9.6874959999999959"
"07/11/2008 14:01:19.796","22533","10","275","103166000","4995479.4263276691","560534.75688924221","560570.0641953653","0","0","0","0","5131","0","363","4423909.6231047036","86","19701202.42846838","51.5625"
"07/11/2008 14:01:21.859","23359","162","211","106795000","1747682.7812759394","0","0","0","0","0","0","5131","0","363","1532502.5293517103","86","57824338.168675274","24.810608484848483"
"07/11/2008 14:01:22.875","23708","26","346","107672000","875530.33524910314","0","0","0","0","0","0","5131","0","362","812109.79293739295","86","61815468.587602042","9.9999999999999982"
"07/11/2008 14:01:23.875","24133","12","360","109333000","1660939.4891470321","0","0","0","0","0","0","5131","0","362","1318257.9736179814","95","10489473.850611636","14.453119999999997"
"07/11/2008 14:01:24.890","24241","40","64","112316000","2936996.4022287712","674303.06436889293","674313.8947277345","0","0","0","0","5131","0","350","2453530.1681174696","95","25100345.131815217","24.230774153846156"
"07/11/2008 14:01:26.921","25289","103","262","115793000","1699657.6786257976","0","0","0","0","0","0","5131","0","350","1527804.5428319052","95","54685252.494765438","17.884612923076926"
"07/11/2008 14:01:27.921","25725","206","151","117970000","2208868.945219046","0","0","0","0","0","0","5131","0","344","1931626.9753846212","103","25264087.20554572","20.3125"
"07/11/2008 14:01:28.921","26520","75","281","120694000","2723944.3777749036","0","0","0","0","0","0","5131","0","344","2436215.2531276708","104","48237607.00079935","27.734380000000002"
"07/11/2008 14:01:29.921","26893","15","123","122867000","2172932.162413754","3445.8924213887694","3453.8921716415584","0","0","0","0","5131","0","344","1885549.1343325695","104","35388335.198256694","19.921869999999998"
