"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/11/2008 12:59:34.390","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/11/2008 12:59:44.390","728","108","334","13465000","1346656.7753773939","0","0","0","0","0","0","5131","0","442","1122001.1213672666","76","18933557.810995333","17.734375000000004"
"07/11/2008 12:59:54.406","2203","125","307","37894000","2439018.0799575029","0","0","0","0","0","0","5131","0","432","2077272.13167434","80","38590892.669608772","21.762870514820598"
"07/11/2008 13:00:04.421","3724","79","346","61997000","2406475.3009279701","0","0","0","0","0","0","5131","0","425","2049096.0967474431","82","39008926.488658711","21.411855975039007"
"07/11/2008 13:00:14.421","5239","25","388","85835000","2383695.8911091341","0","0","0","0","0","0","5131","0","413","2020374.0593384139","92","35027871.743406214","22.695312999999995"
"07/11/2008 13:00:24.421","6682","57","340","109937000","2410169.7251085993","0","0","0","0","0","0","5131","0","397","2051399.5317325639","93","40571599.167526416","21.523437000000001"
"07/11/2008 13:00:34.421","8145","128","246","135091000","2515329.537634308","0","0","0","0","0","0","5131","0","374","2140366.7415326103","95","41026434.719318092","23.359375000000004"
"07/11/2008 13:00:44.421","9790","23","334","160274000","2518227.7434647637","0","0","0","0","0","0","5131","0","357","2155593.0486898944","97","35973316.602961659","24.179687999999999"
"07/11/2008 13:00:54.421","11288","12","346","184461000","2418631.1934766821","0","0","0","0","0","0","5131","0","358","2052578.7071350375","111","41006347.029346041","22.695312000000001"
"07/11/2008 13:01:04.421","12775","109","242","210411000","2594928.1300723297","0","0","0","0","0","0","5131","0","351","2221965.3597639366","112","39591249.068587832","23.632812999999999"
