"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 09:02:37.031","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 09:02:38.046","0","0","512","145000","144291.95895340489","0","0","0","0","0","0","182","0","489","19.902339165986881","13","0","9.2307692307692317"
"07/22/2008 09:02:39.046","0","0","512","458000","312986.86546427733","0","0","0","0","0","0","182","0","488","81.996559003420884","62","0","13.28125"
"07/22/2008 09:02:40.046","0","0","512","625000","166997.13695138658","0","0","0","0","0","0","182","0","484","10.999811415959595","72","0","5.0781300000000034"
"07/22/2008 09:02:41.046","0","0","512","1409000","783968.6734605711","0","0","0","0","0","0","182","0","484","0","72","16383.345339257648","17.1875"
"07/22/2008 09:02:42.046","0","0","512","2276000","866984.79478509445","0","0","0","0","0","0","182","0","482","2.9999473867996347","75","0","18.75"
"07/22/2008 09:02:43.046","0","0","512","3308000","1031969.6919852673","0","0","0","0","0","0","182","0","481","0","75","0","21.09375"
"07/22/2008 09:02:44.046","0","0","512","4448000","1139963.1774281552","0","0","0","0","0","0","182","0","481","0","75","0","23.828119999999998"
"07/22/2008 09:02:45.046","0","0","512","5247000","798977.97587334889","0","0","0","0","0","0","182","0","481","0","75","0","23.828130000000002"
"07/22/2008 09:02:46.046","0","0","512","6409000","1161956.7633411498","0","0","0","0","0","0","182","0","481","0","75","511.98094907974928","24.21875"
"07/22/2008 09:02:47.046","0","0","512","7523000","1113975.8387309024","0","0","0","0","0","0","182","0","480","0","75","0","23.046869999999998"
"07/22/2008 09:02:48.046","0","0","512","8147000","623941.8950795572","0","0","0","0","0","0","182","0","479","0","75","0","25"
"07/22/2008 09:02:49.046","0","0","512","8739000","592017.40082811401","0","0","0","0","0","0","182","0","479","12.000352719488797","84","0","18.75"
"07/22/2008 09:02:50.046","0","0","512","9982000","1242974.5743430308","0","0","0","0","0","0","182","0","477","0","84","0","25.78125"
"07/22/2008 09:02:51.046","0","0","512","11211000","1228965.0447201661","0","0","0","0","0","0","182","0","477","0","84","8191.767002723841","24.609380000000002"
"07/22/2008 09:02:52.046","0","0","512","12207000","995973.68473889166","0","0","0","0","0","0","182","0","477","0","84","0","24.609369999999998"
"07/22/2008 09:02:53.046","0","0","512","12863000","655979.01257460762","0","0","0","0","0","0","182","0","476","0","84","0","25.78125"
"07/22/2008 09:02:54.046","0","0","512","14078000","1214965.807382171","0","0","0","0","0","0","182","0","476","0","84","0","24.609380000000002"
"07/22/2008 09:02:55.046","0","0","512","15272000","1193903.0542004644","0","0","0","0","0","0","182","0","476","0","84","0","25.390619999999998"
"07/22/2008 09:02:56.046","0","0","512","16107000","835019.7398855777","0","0","0","0","0","0","182","0","476","0","84","4096.0968318219475","24.21875"
"07/22/2008 09:02:57.046","0","0","512","16927000","819978.08576757996","0","0","0","0","0","0","182","0","471","0","84","0","25"
"07/22/2008 09:02:58.046","0","0","512","18135000","1207970.6291869858","0","0","0","0","0","0","182","0","470","0","84","0","25"
"07/22/2008 09:02:59.046","0","0","512","18465000","329988.52786504064","0","0","0","0","0","0","182","0","469","11.999582831456022","93","0","21.09375"
"07/22/2008 09:03:00.046","0","0","512","19527000","1061972.3192678669","0","0","0","0","0","0","182","0","469","4.9998696764023869","97","0","22.65625"
"07/22/2008 09:03:01.046","0","0","512","20725000","1197962.0362175002","0","0","0","0","0","0","182","0","451","0","97","12287.610601870319","26.953130000000002"
"07/22/2008 09:03:02.046","0","0","512","22035000","1309888.5227036565","0","0","0","0","0","0","182","0","446","0","104","0","27.34375"
"07/22/2008 09:03:03.046","0","0","512","22934000","899013.78539746429","0","0","0","0","0","0","182","0","445","0","105","0","24.609369999999998"
"07/22/2008 09:03:04.046","0","0","512","23721000","786993.74088076619","0","0","0","0","0","0","182","0","445","0","105","0","23.828130000000002"
"07/22/2008 09:03:05.046","0","0","512","24893000","1171969.9663285699","0","0","0","0","0","0","182","0","445","0","105","0","23.828119999999998"
"07/22/2008 09:03:06.046","0","0","512","25475000","581980.84975432558","0","0","0","0","0","0","182","0","445","11.999605149573723","114","4095.8652243878305","21.875"
"07/22/2008 09:03:07.046","0","0","512","26642000","1166960.7124912376","0","0","0","0","0","0","182","0","445","0","114","0","23.828130000000002"
"07/22/2008 09:03:08.046","0","0","512","27736000","1093978.151341341","0","0","0","0","0","0","182","0","444","0","114","0","23.4375"
"07/22/2008 09:03:09.046","0","0","512","27987000","250989.13590716288","0","0","0","0","0","0","182","0","443","11.999480601139261","123","0","20.703119999999998"
"07/22/2008 09:03:10.046","0","0","512","29164000","1176961.514490302","0","0","0","0","0","0","182","0","443","0","123","0","23.4375"
"07/22/2008 09:03:11.046","0","0","512","30296000","1131990.5725623055","0","0","0","0","0","0","182","0","443","0","123","8191.9317759985934","21.875"
"07/22/2008 09:03:12.046","0","0","512","31585000","1288961.4580094356","0","0","0","0","0","0","182","0","443","0","123","0","24.609380000000002"
"07/22/2008 09:03:13.046","0","0","512","32104000","518987.30729572155","0","0","0","0","0","0","182","0","444","0","124","0","25.78125"
"07/22/2008 09:03:14.046","0","0","512","33325000","1220959.6820395989","0","0","0","0","0","0","182","0","449","0","129","0","23.828119999999998"
"07/22/2008 09:03:15.046","0","0","512","33852000","526983.65938737197","0","0","0","0","0","0","182","0","449","15.999503890318696","140","0","19.921880000000002"
"07/22/2008 09:03:16.046","0","0","512","34624000","771963.45039134414","0","0","0","0","0","0","182","0","451","2.9998579678420105","143","4095.8060787602922","21.875"
"07/22/2008 09:03:17.046","0","0","512","35708000","1083995.0819059487","0","0","0","0","0","0","182","0","446","0","143","0","23.4375"
"07/22/2008 09:03:18.046","0","0","512","36875000","1166967.3901260172","0","0","0","0","0","0","182","0","446","0","143","0","25"
"07/22/2008 09:03:19.046","0","0","512","38021000","1145967.3538441372","0","0","0","0","0","0","182","0","446","0","143","0","25"
"07/22/2008 09:03:20.046","0","0","512","38475000","453985.52283212362","0","0","0","0","0","0","182","0","446","0","143","0","25.78125"
"07/22/2008 09:03:21.046","0","0","512","38483000","7999.8481487466415","0","0","0","0","0","0","182","0","446","0","143","12287.766756474841","25"
"07/22/2008 09:03:22.046","0","0","512","39294000","810972.5453199615","0","0","0","0","0","0","182","0","446","0","143","0","24.609369999999998"
"07/22/2008 09:03:23.046","0","0","512","40425000","1130940.1436343791","0","0","0","0","0","0","182","0","446","0","143","0","25"
"07/22/2008 09:03:24.046","0","0","512","41601000","1175994.7262415465","0","0","0","0","0","0","182","0","446","0","143","0","24.609380000000002"
"07/22/2008 09:03:25.046","0","0","512","42326000","724981.09220409428","0","0","0","0","0","0","182","0","446","0","143","0","25"
"07/22/2008 09:03:26.046","0","0","512","42338000","11999.682948661346","0","0","0","0","0","0","182","0","446","0","143","4095.8917798097395","25.390619999999998"
"07/22/2008 09:03:27.046","0","0","512","43166000","827974.70199960319","0","0","0","0","0","0","182","0","446","0","143","0","25.390630000000002"
"07/22/2008 09:03:28.046","0","0","512","43757000","590982.0228727255","0","0","0","0","0","0","182","0","444","11.99963498218732","152","0","19.53125"
"07/22/2008 09:03:29.046","0","0","512","44455000","697981.42469727236","0","0","0","0","0","0","182","0","446","24.999334695461044","176","0","21.09375"
"07/22/2008 09:03:30.046","0","0","512","45630000","1174910.1918512834","0","0","0","0","0","0","182","0","446","0","177","0","24.609369999999998"
"07/22/2008 09:03:31.046","0","0","512","46825000","1195026.4086476315","0","0","0","0","0","0","182","0","446","0","177","8192.1810373568187","25"
"07/22/2008 09:03:32.046","0","0","512","47698000","872973.7362953939","0","0","0","0","0","0","182","0","446","0","177","0","24.21875"
"07/22/2008 09:03:33.046","0","0","512","48653000","954969.55766948953","0","0","0","0","0","0","182","0","446","2.9999043696423753","180","0","20.703130000000002"
"07/22/2008 09:03:34.046","0","0","512","49805000","1151926.5620658787","0","0","0","0","0","0","182","0","446","0","180","0","23.828119999999998"
"07/22/2008 09:03:35.046","0","0","512","51009000","1204009.4096783793","0","0","0","0","0","0","182","0","446","0","180","0","24.609380000000002"
"07/22/2008 09:03:36.046","0","0","512","51809000","799976.91638415726","0","0","0","0","0","0","182","0","446","0","180","0","23.4375"
"07/22/2008 09:03:37.046","0","0","512","53037000","1227890.4177227996","0","0","0","0","0","0","182","0","446","0","180","0","25"
"07/22/2008 09:03:38.046","0","0","512","54230000","1193027.5723960374","0","0","0","0","0","0","182","0","446","0","180","0","24.609369999999998"
"07/22/2008 09:03:39.046","0","0","512","54794000","563990.71357768239","0","0","0","0","0","0","182","0","446","11.999802416546432","189","0","21.484380000000002"
"07/22/2008 09:03:40.046","0","0","512","55743000","948972.57080039952","0","0","0","0","0","0","182","0","446","3.9998843869352982","192","0","21.484369999999998"
"07/22/2008 09:03:41.046","0","0","512","56901000","1157974.2765126615","0","0","0","0","0","0","182","0","446","0","192","0","24.21875"
"07/22/2008 09:03:42.046","0","0","512","58047000","1145967.3925187902","0","0","0","0","0","0","182","0","446","0","192","0","23.828130000000002"
"07/22/2008 09:03:43.046","0","0","512","58324000","276993.57570273918","0","0","0","0","0","0","182","0","446","11.999721691093393","201","0","21.484369999999998"
"07/22/2008 09:03:44.046","0","0","512","59250000","925944.26062774018","0","0","0","0","0","0","182","0","446","0","201","0","15.625"
"07/22/2008 09:03:45.046","0","0","512","60564000","1314000.6608218187","0","0","0","0","0","0","182","0","446","0","201","0","23.4375"
"07/22/2008 09:03:46.046","0","0","512","61831000","1266965.7597652082","0","0","0","0","0","0","182","0","446","0","201","0","23.4375"
"07/22/2008 09:03:47.046","0","0","512","63245000","1413960.4032880012","0","0","0","0","0","0","182","0","446","0","201","0","24.609380000000002"
"07/22/2008 09:03:48.046","0","0","512","63528000","282988.85125045734","0","0","0","0","0","0","182","0","446","0","201","0","23.4375"
"07/22/2008 09:03:49.046","0","0","512","64599000","1070976.0203540849","0","0","0","0","0","0","182","0","447","0.99997761004116237","203","0","22.65625"
"07/22/2008 09:03:50.046","0","0","512","65546000","946978.70793319435","0","0","0","0","0","0","182","0","446","22.999482874829429","219","0","19.921869999999998"
"07/22/2008 09:03:51.046","0","0","512","66699000","1152938.2962511715","0","0","0","0","0","0","182","0","446","0","219","0","23.828130000000002"
"07/22/2008 09:03:52.046","0","0","512","67252000","552988.68212319189","0","0","0","0","0","0","182","0","446","14.999693005149869","230","0","22.265619999999998"
"07/22/2008 09:03:53.046","0","0","512","68442000","1189984.0787742063","0","0","0","0","0","0","182","0","445","0","230","0","23.828130000000002"
"07/22/2008 09:03:54.046","0","0","512","69166000","723973.60918854654","0","0","0","0","0","0","182","0","445","11.999562583235578","239","0","22.265619999999998"
"07/22/2008 09:03:55.046","0","0","512","70069000","902981.64080801711","0","0","0","0","0","0","182","0","445","11.999756024026807","248","0","20.703130000000002"
"07/22/2008 09:03:56.046","0","0","512","71333000","1263965.3099969295","0","0","0","0","0","0","182","0","445","0","248","0","23.828119999999998"
