"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/11/2008 12:17:31.078","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/11/2008 12:17:41.078","350","57","422","5776000","578456.74091894971","0","0","0","0","0","0","182","0","479","11.617206015685278","75","7931004.0543518411","15.703124999999996"
"07/11/2008 12:17:51.093","826","53","424","13384000","759581.53090395336","0","0","0","0","0","0","182","0","477","1.1980781244541852","84","12364012.89036726","20.709827893915755"
"07/11/2008 12:18:01.093","1405","42","433","22508000","912362.51639669493","0","0","0","0","0","0","182","0","475","1.6999301598798569","97","14897768.738408817","23.828125"
"07/11/2008 12:18:11.093","1869","49","421","30002000","749368.0989557514","0","0","0","0","0","0","182","0","470","2.3998978349263456","115","11905745.965335725","20.039063000000002"
"07/11/2008 12:18:21.093","2397","0","468","37657000","765470.22740766243","0","0","0","0","0","0","182","0","468","1.7999299925980305","129","12849881.010125484","20.3125"
"07/11/2008 12:18:31.093","2729","20","446","43321000","566370.19669845805","0","0","0","0","0","0","182","0","466","1.1999368574119873","138","9492799.6737664454","23.242187000000001"
"07/11/2008 12:18:41.093","3215","31","437","51069000","774777.47110861191","0","0","0","0","0","0","182","0","468","2.7999185842851233","165","12009941.976270026","18.710937999999999"
"07/11/2008 12:18:51.093","3719","40","428","59220000","815066.66561642266","0","0","0","0","0","0","182","0","468","2.6998895806212015","186","12903101.092342095","21.640625000000004"
"07/11/2008 12:19:01.093","4279","32","433","67883000","866265.23731884302","0","0","0","0","0","0","182","0","465","3.9998394889476767","215","14210911.325033328","21.562499999999996"
"07/11/2008 12:19:11.093","4847","30","434","76451000","856765.38400541164","0","0","0","0","0","0","182","0","464","6.2997454706280269","266","13950412.359815922","21.679687000000001"
"07/11/2008 12:19:21.093","5106","1","460","79571000","311986.76439995377","0","0","0","0","0","0","182","0","461","5.9997454692298797","316","5755455.0329083409","18.945312999999999"
"07/11/2008 12:19:31.093","5666","0","457","87727000","815567.24029680446","0","0","0","0","0","0","182","0","457","12.799485870278442","399","12234260.574246947","25.312500000000004"
"07/11/2008 12:19:41.093","6261","9","448","97494000","976653.84416043654","0","0","0","0","0","0","182","0","457","1.1999432916888746","408","14894809.683816999","25.390625"
