"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 09:13:26.437","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 09:13:27.437","0","0","512","81000","82040.218719375713","0","0","0","0","0","0","685","0","493","44.565057082130018","4","0","7.03125"
"07/22/2008 09:13:28.453","0","0","512","419000","332791.91448631702","0","0","0","0","0","0","685","0","491","677.39892652836124","52","0","13.076923076923075"
"07/22/2008 09:13:29.468","0","0","512","746000","321966.85527793283","0","0","0","0","0","0","685","0","483","293.41321979456876","72","0","8.8461587692307724"
"07/22/2008 09:13:30.484","0","0","512","1949000","1184451.1581867621","0","0","0","0","0","0","685","0","483","8.8612306098760261","72","0","16.92307692307692"
"07/22/2008 09:13:31.484","0","0","512","3244000","1294925.0150670018","0","0","0","0","0","0","685","0","483","97.994325464529865","75","511.97035344733968","19.140619999999998"
"07/22/2008 09:13:32.500","0","0","512","4939000","1668909.8516197074","0","0","0","0","0","0","685","0","481","7.8768606566121884","75","0","23.84615384615385"
"07/22/2008 09:13:33.515","0","0","512","6595000","1630474.0835451789","0","0","0","0","0","0","685","0","481","34.460502973479024","78","0","23.076923076923073"
"07/22/2008 09:13:34.515","0","0","512","7792000","1196956.0842302167","0","0","0","0","0","0","685","0","480","3.9998532472187689","82","0","23.828130000000002"
"07/22/2008 09:13:35.515","0","0","512","9580000","1787940.6433475248","0","0","0","0","0","0","685","0","480","33.998871294080452","83","0","25"
"07/22/2008 09:13:36.515","0","0","512","11230000","1649930.9141313715","0","0","0","0","0","0","685","0","478","7.9996650382127106","83","12287.485498694723","23.046869999999998"
"07/22/2008 09:13:37.531","0","0","512","12794000","1539894.9304374512","0","0","0","0","0","0","685","0","476","36.429739402932029","83","0","24.230774153846156"
"07/22/2008 09:13:38.546","0","0","512","13243000","442074.93191626557","0","0","0","0","0","0","685","0","475","197.89991384224808","93","0","20.384610461538465"
"07/22/2008 09:13:39.546","0","0","512","14879000","1635944.9102437696","0","0","0","0","0","0","685","0","473","0","93","0","22.65625"
"07/22/2008 09:13:40.546","0","0","512","16685000","1805930.0707469513","0","0","0","0","0","0","685","0","473","33.998683502434297","93","0","25.78125"
"07/22/2008 09:13:41.546","0","0","512","18454000","1768881.9352399393","0","0","0","0","0","0","685","0","472","0","93","4095.7266290236244","24.21875"
"07/22/2008 09:13:42.546","0","0","512","19376000","921992.41440223041","0","0","0","0","0","0","685","0","472","0","93","0","25"
"07/22/2008 09:13:43.546","0","0","512","20925000","1548935.2475713808","0","0","0","0","0","0","685","0","472","47.997993468964673","93","0","24.21875"
"07/22/2008 09:13:44.546","0","0","512","22721000","1795965.2417721797","0","0","0","0","0","0","685","0","472","22.999554877928805","93","0","25.390630000000002"
"07/22/2008 09:13:45.546","0","0","512","24440000","1718946.6789405325","0","0","0","0","0","0","685","0","472","7.9997518507994538","93","0","23.4375"
"07/22/2008 09:13:46.546","0","0","512","25507000","1066967.8393239118","0","0","0","0","0","0","685","0","472","7.999758870282375","93","8191.753083169152","25.78125"
"07/22/2008 09:13:47.546","0","0","512","26946000","1438945.3657260735","0","0","0","0","0","0","685","0","472","0","93","0","24.609369999999998"
"07/22/2008 09:13:48.546","0","0","512","28741000","1794873.2274450108","0","0","0","0","0","0","685","0","472","0","93","0","25"
"07/22/2008 09:13:49.546","0","0","512","29308000","567004.18018606608","0","0","0","0","0","0","685","0","472","174.00128280842239","106","0","22.65625"
"07/22/2008 09:13:50.546","0","0","512","30796000","1487936.2464485997","0","0","0","0","0","0","685","0","471","55.997600672796764","111","0","20.703130000000002"
"07/22/2008 09:13:51.546","0","0","512","32528000","1731959.375235714","0","0","0","0","0","0","685","0","471","8.999788901340315","111","4095.9039266544369","23.4375"
"07/22/2008 09:13:52.546","0","0","512","34174000","1645945.8079116754","0","0","0","0","0","0","685","0","471","0","111","0","22.65625"
"07/22/2008 09:13:53.546","0","0","512","35834000","1659921.2958155612","0","0","0","0","0","0","685","0","471","28.998625047380287","111","0","25"
"07/22/2008 09:13:54.546","0","0","512","36732000","897981.20997805637","0","0","0","0","0","0","685","0","471","7.9998326055951576","111","0","23.4375"
"07/22/2008 09:13:55.546","0","0","512","38450000","1717887.2521742696","0","0","0","0","0","0","685","0","471","30.997965551456552","111","0","24.21875"
"07/22/2008 09:13:56.546","0","0","512","39361000","910954.09531956015","0","0","0","0","0","0","685","0","471","167.99153459241066","120","12287.380815902035","21.484369999999998"
"07/22/2008 09:13:57.546","0","0","512","41000000","1639027.4308299539","0","0","0","0","0","0","685","0","471","5.0000836816044956","120","0","24.609380000000002"
"07/22/2008 09:13:58.546","0","0","512","42734000","1733909.3220107069","0","0","0","0","0","0","685","0","471","17.999058705993498","120","0","25"
"07/22/2008 09:13:59.546","0","0","512","43595000","861001.77579396521","0","0","0","0","0","0","685","0","471","5.000010312392364","120","0","25.390619999999998"
"07/22/2008 09:14:00.546","0","0","512","44824000","1228936.7996427407","0","0","0","0","0","0","685","0","471","167.99136073228678","129","0","21.09375"
"07/22/2008 09:14:01.546","0","0","512","46609000","1784950.2473649506","0","0","0","0","0","0","685","0","470","0","129","4095.8858337293209","24.21875"
"07/22/2008 09:14:02.546","0","0","512","48378000","1768842.8159590138","0","0","0","0","0","0","685","0","470","0","129","0","23.828130000000002"
"07/22/2008 09:14:03.546","0","0","512","50203000","1825055.1684468177","0","0","0","0","0","0","685","0","470","0","129","0","24.609369999999998"
"07/22/2008 09:14:04.546","0","0","512","50980000","776966.50539263512","0","0","0","0","0","0","685","0","470","22.999008525135917","129","0","24.609380000000002"
"07/22/2008 09:14:05.546","0","0","512","52581000","1600950.8374155038","0","0","0","0","0","0","685","0","470","12.999600803498781","129","0","24.21875"
"07/22/2008 09:14:06.546","0","0","512","53600000","1018979.7480306575","0","0","0","0","0","0","685","0","470","237.99526990313689","140","8191.8371892709974","19.921869999999998"
"07/22/2008 09:14:07.546","0","0","512","54741000","1140939.3698135912","0","0","0","0","0","0","685","0","470","89.995217601422624","143","0","21.484380000000002"
"07/22/2008 09:14:08.546","0","0","512","56446000","1704916.8479824318","0","0","0","0","0","0","685","0","470","23.998829531717515","143","0","25"
"07/22/2008 09:14:09.546","0","0","512","58200000","1753935.688367042","0","0","0","0","0","0","685","0","470","3.9998533372110425","143","0","25.390619999999998"
"07/22/2008 09:14:10.546","0","0","512","59853000","1652977.9082264036","0","0","0","0","0","0","685","0","466","7.9998930827654133","143","0","24.21875"
"07/22/2008 09:14:11.546","0","0","512","60667000","813983.77038396848","0","0","0","0","0","0","685","0","466","0","143","4095.9183335291586","25.390630000000002"
"07/22/2008 09:14:12.546","0","0","512","60719000","51998.566222456851","0","0","0","0","0","0","685","0","466","0","143","0","25.390619999999998"
"07/22/2008 09:14:13.546","0","0","512","61836000","1116923.0505483008","0","0","0","0","0","0","685","0","466","0","143","0","25.78125"
"07/22/2008 09:14:14.546","0","0","512","63519000","1682985.3518993447","0","0","0","0","0","0","685","0","466","0","143","0","25.78125"
