"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 10:59:46.781","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 10:59:47.796","0","15","477","132000","131978.23029806081","0","0","0","0","0","0","685","0","492","129.97856014202958","10","0","14.230764307692311"
"07/14/2008 10:59:48.796","42","10","474","369000","236993.08225840062","0","0","0","0","0","0","685","0","484","429.98744882325849","40","5771095.5438267775","10.9375"
"07/14/2008 10:59:49.796","78","10","472","597000","227996.51597179065","0","0","0","0","0","0","685","0","482","462.99292497780294","72","4206527.7198017836","7.03125"
"07/14/2008 10:59:50.796","101","20","459","1163000","565975.35066665674","0","0","0","0","0","0","685","0","479","0","72","4194121.3378137122","8.59375"
"07/14/2008 10:59:51.796","168","14","466","2124000","960972.59820888436","0","0","0","0","0","0","685","0","480","81.997661865898564","75","11468472.980580701","15.625"
"07/14/2008 10:59:52.796","220","28","447","3211000","1086958.8441765115","0","0","0","0","0","0","685","0","475","3.9998485526274576","75","19201320.975070741","16.40625"
"07/14/2008 10:59:53.796","294","35","440","4552000","1340944.8627126424","0","0","0","0","0","0","685","0","475","0","75","10878528.694089584","21.484380000000002"
"07/14/2008 10:59:54.796","365","22","453","5475000","922926.61440757522","0","0","0","0","0","0","685","0","475","0.99992049231589952","76","19594217.985232089","13.671869999999997"
"07/14/2008 10:59:55.796","426","24","450","6528000","1052994.6613837995","0","0","0","0","0","0","685","0","474","0","76","19267486.315065444","16.40625"
"07/14/2008 10:59:56.796","498","10","464","7473000","944981.07344690722","0","0","0","0","0","0","685","0","474","0","76","15924929.047564246","21.484380000000002"
"07/14/2008 10:59:57.796","545","35","439","8682000","1208949.6916986208","0","0","0","0","0","0","685","0","474","0","76","19528915.338757586","19.53125"
"07/14/2008 10:59:58.796","646","24","449","10140000","1457949.7615016371","0","0","0","0","0","0","685","0","473","0","76","13827619.523471702","22.65625"
"07/14/2008 10:59:59.796","705","26","447","11137000","996962.12463612447","0","0","0","0","0","0","685","0","473","31.998784341380123","77","28158930.220414508","15.234369999999997"
"07/14/2008 11:00:00.796","793","19","454","12459000","1321954.0312756139","0","0","0","0","0","0","685","0","473","0","77","14417418.65855469","19.921880000000002"
"07/14/2008 11:00:01.796","849","3","470","13116000","656935.18101592641","0","0","0","0","0","0","685","0","473","0","77","23328514.20427591","22.65625"
"07/14/2008 11:00:02.796","887","28","444","14037000","921007.55331878015","0","0","0","0","0","0","685","0","472","172.00141060893614","86","6520885.4787435485","20.3125"
"07/14/2008 11:00:03.796","972","26","446","15397000","1359972.7107887075","0","0","0","0","0","0","685","0","472","0","86","19234430.041942649","21.484369999999998"
"07/14/2008 11:00:04.796","1062","32","440","16940000","1542930.0540689854","0","0","0","0","0","0","685","0","472","3.9998186754866767","86","7167675.0664721243","23.4375"
"07/14/2008 11:00:06.296","1095","13","459","17169000","152246.07387546671","0","0","0","0","0","0","685","0","472","0","86","19955197.395005174","2.3437533333333316"
"07/14/2008 11:00:07.296","1115","70","402","18393000","1228985.3798616612","0","0","0","0","0","0","685","0","472","9.0366572048651559","87","5264234.3695826037","19.53125"
"07/14/2008 11:00:08.296","1205","62","410","19751000","1357954.0474094432","0","0","0","0","0","0","685","0","472","0","87","23067891.392312881","23.046869999999998"
"07/14/2008 11:00:09.296","1268","42","430","20425000","673974.07169909787","0","0","0","0","0","0","685","0","472","2.9998845921324833","88","16801145.64700494","23.828130000000002"
"07/14/2008 11:00:10.296","1328","59","413","21701000","1275954.0183818326","0","0","0","0","0","0","685","0","472","0","88","15203804.099758508","19.921869999999998"
"07/14/2008 11:00:11.296","1409","62","410","23084000","1382951.1374897161","0","0","0","0","0","0","685","0","472","0","88","21495048.535690915","21.875"
"07/14/2008 11:00:12.296","1493","70","402","24592000","1507899.3376682447","0","0","0","0","0","0","685","0","472","0","88","22018626.109941091","22.65625"
"07/14/2008 11:00:13.296","1589","43","429","25720000","1127980.0011645649","0","0","0","0","0","0","685","0","472","0","88","25165377.8234284","17.96875"
"07/14/2008 11:00:14.296","1651","19","453","26339000","618983.17856866121","0","0","0","0","0","0","685","0","472","0","88","16277061.656032469","25.390630000000002"
"07/14/2008 11:00:15.296","1695","62","410","27771000","1431942.8608243072","0","0","0","0","0","0","685","0","472","0","88","11533875.760858098","21.875"
"07/14/2008 11:00:16.296","1784","66","406","29310000","1538951.373591803","0","0","0","0","0","0","685","0","472","0","88","23067943.119778275","25"
"07/14/2008 11:00:17.296","1880","11","461","29928000","617972.92617206112","0","0","0","0","0","0","685","0","472","85.99623244465576","92","25164721.515875541","23.046869999999998"
