"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 09:24:02.000","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 09:24:03.015","0","0","512","257000","255096.38747756311","0","0","0","0","0","0","813","0","478","1139.4967035962741","7","16262.642849931493","10.769230769230765"
"07/22/2008 09:24:04.031","0","0","512","971000","702996.75370937062","0","0","0","0","0","0","813","0","467","7131.3802340573829","46","0","12.307692307692308"
"07/22/2008 09:24:05.046","0","0","512","1436000","457830.31158487423","0","0","0","0","0","0","813","0","458","3929.4640291080282","73","0","6.9230769230769207"
"07/22/2008 09:24:06.046","0","0","512","2303000","866973.90704895416","0","0","0","0","0","0","813","0","455","26.999187416749439","73","0","8.9843699999999966"
"07/22/2008 09:24:07.046","0","0","512","4216000","1912938.0298112456","0","0","0","0","0","0","813","0","455","520.98312259888075","76","0","18.75"
"07/22/2008 09:24:08.046","0","0","512","6739000","2522943.9547853582","0","0","0","0","0","0","813","0","453","0","76","511.98862657554633","21.875"
"07/22/2008 09:24:09.046","0","0","512","9180000","2440920.6876723277","0","0","0","0","0","0","813","0","452","0","76","0","23.046880000000002"
"07/22/2008 09:24:10.046","0","0","512","11271000","2090947.5843025693","0","0","0","0","0","0","813","0","451","3.9998997308513999","76","0","18.75"
"07/22/2008 09:24:11.046","0","0","512","13149000","1877805.6793003748","0","0","0","0","0","0","813","0","451","7.999172222791799","76","0","24.609369999999998"
