"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 12:03:30.484","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 12:03:31.484","0","9","469","173000","174155.44498651673","0","0","0","0","0","0","813","0","478","595.95389267062376","4","20616.783314010765","9.7656199999999966"
"07/14/2008 12:03:32.484","39","25","446","803000","629980.06679599488","0","0","0","0","0","0","813","0","471","5588.8231640044687","34","2019264.1084492425","12.109380000000003"
"07/14/2008 12:03:33.500","84","22","442","1310000","499185.42966963933","0","0","0","0","0","0","813","0","464","5141.5114669326558","62","6706657.6600361727","9.2307692307692317"
"07/14/2008 12:03:34.515","119","7","456","1579000","264849.42314312421","0","0","0","0","0","0","813","0","463","1042.6599966861284","72","8283371.4840035774","6.1538461538461542"
"07/14/2008 12:03:35.515","134","10","453","1811000","231996.70474879071","0","0","0","0","0","0","813","0","463","151.99784104231114","75","7921551.48330657","1.9531199999999971"
"07/14/2008 12:03:36.515","190","55","405","3484000","1672936.2262114505","0","0","0","0","0","0","813","0","460","40.998437103807213","75","511.98048285729982","20.3125"
"07/14/2008 12:03:37.515","280","42","415","4721000","1236970.3004464225","0","0","0","0","0","0","813","0","457","726.98254520982152","78","18050638.605675027","15.625"
"07/14/2008 12:03:38.531","369","52","384","6375000","1628517.1177615155","0","0","0","0","0","0","813","0","436","0","78","22781816.287768893","18.846158769230769"
"07/14/2008 12:03:39.546","452","54","382","7761000","1364614.5754857783","0","0","0","0","0","0","813","0","436","0","78","22938568.456830654","15.384615384615385"
"07/14/2008 12:03:40.546","568","42","389","9490000","1728980.6804842027","0","0","0","0","0","0","813","0","431","0","78","21495567.809946656","18.359369999999998"
"07/14/2008 12:03:41.546","642","51","380","10865000","1374957.42303882","0","0","0","0","0","0","813","0","431","0","78","30452816.997412868","15.234380000000003"
"07/14/2008 12:03:42.546","751","48","382","12620000","1754946.2354172629","0","0","0","0","0","0","813","0","430","6.9997855543708498","78","19398061.720429916","20.703119999999998"
"07/14/2008 12:03:43.546","845","26","404","13766000","1145970.186296772","0","0","0","0","0","0","813","0","430","0","78","28835089.822708473","20.3125"
"07/14/2008 12:03:44.546","938","44","386","15605000","1838945.9445438881","0","0","0","0","0","0","813","0","430","0","78","24640811.688163251","20.3125"
"07/14/2008 12:03:45.546","1063","43","387","17645000","2039944.1899896238","0","0","0","0","0","0","813","0","430","0","78","24116588.203989647","22.65625"
"07/14/2008 12:03:46.546","1145","34","393","18811000","1165858.5095012619","0","0","0","0","0","0","813","0","427","20.997451714859778","79","33316916.604417812","14.84375"
"07/14/2008 12:03:47.546","1188","28","398","19417000","606038.31193385134","0","0","0","0","0","0","813","0","426","4.0002528840518243","79","22611349.422045253","6.25"
"07/14/2008 12:03:48.546","1268","36","390","20846000","1428961.5325615478","0","0","0","0","0","0","813","0","426","0","79","9633532.6666894183","16.40625"
"07/14/2008 12:03:49.546","1385","32","394","22700000","1853940.4495834925","0","0","0","0","0","0","813","0","426","0","79","20970846.395495795","20.3125"
"07/14/2008 12:03:50.546","1436","28","397","23458000","757978.45838517195","0","0","0","0","0","0","813","0","425","0.99997158098307648","79","30932112.914776858","26.171880000000002"
"07/14/2008 12:03:51.546","1520","27","398","24750000","1291958.3556666274","0","0","0","0","0","0","813","0","425","1479.9522959648673","88","13774404.002815582","15.625"
"07/14/2008 12:03:52.546","1652","22","402","26846000","2095942.6343719051","0","0","0","0","0","0","813","0","424","3.9998905236105062","88","20856261.167334091","23.828119999999998"
"07/14/2008 12:03:53.546","1742","19","404","28263000","1416843.8824057509","0","0","0","0","0","0","813","0","423","0","88","34599195.622891501","16.796880000000002"
"07/14/2008 12:03:54.546","1836","16","406","29752000","1489043.8340555253","0","0","0","0","0","0","813","0","422","0","88","23593654.543397345","16.40625"
"07/14/2008 12:03:55.546","1928","13","409","31204000","1451988.2022366484","0","0","0","0","0","0","813","0","422","0","88","24641335.783050727","16.796869999999998"
"07/14/2008 12:03:56.546","2029","13","405","32864000","1659959.5593860974","0","0","0","0","0","0","813","0","418","0","88","24120756.360265352","17.96875"
"07/14/2008 12:03:57.546","2130","1","410","34288000","1423953.8073075246","0","0","0","0","0","0","813","0","411","9.9996756131146398","90","27122832.142354492","23.046880000000002"
"07/14/2008 12:03:58.546","2203","8","403","35583000","1294965.042607385","0","0","0","0","0","0","813","0","411","0","90","25828678.758580822","23.046869999999998"
"07/14/2008 12:03:59.546","2317","4","407","37385000","1801921.7884633779","0","0","0","0","0","0","813","0","411","0","90","19397814.047339533","20.3125"
"07/14/2008 12:04:00.546","2427","3","403","39167000","1781713.2674336617","0","0","0","0","0","0","813","0","406","0","90","29879607.450452749","19.140630000000002"
"07/14/2008 12:04:01.546","2532","0","406","40883000","1716197.2784878511","0","0","0","0","0","0","813","0","406","0","90","28896505.680447977","19.140619999999998"
"07/14/2008 12:04:02.546","2600","1","342","42990000","2106878.2925659395","0","0","0","0","0","0","813","0","405","12.999249076106889","90","27261401.198455714","24.21875"
"07/14/2008 12:04:04.468","2695","32","372","44060000","554075.84033094265","0","0","0","0","0","0","813","0","404","2.5891394407987973","90","22262257.721855327","6.5040650406504081"
"07/14/2008 12:04:05.484","2728","68","336","45198000","1130755.9764175403","0","0","0","0","0","0","813","0","404","0","90","8335209.6922882162","19.999999999999996"
"07/14/2008 12:04:06.484","2798","81","323","46539000","1340960.8090019012","0","0","0","0","0","0","813","0","404","0","90","18353639.595468517","23.046880000000002"
"07/14/2008 12:04:07.484","2895","66","324","47888000","1348956.1441011596","0","0","0","0","0","0","813","0","390","9.9996749006757568","91","25689276.816194907","15.625"
"07/14/2008 12:04:08.500","2978","119","271","50105000","2182837.3391723852","0","0","0","0","0","0","813","0","390","0","91","21164570.292323172","24.230764307692311"
"07/14/2008 12:04:09.515","3119","46","341","51210000","1087830.2284950949","0","0","0","0","0","0","813","0","387","0","91","36646045.04384052","12.692312615384616"
"07/14/2008 12:04:10.531","3184","77","283","52557000","1326403.9108859377","0","0","0","0","0","0","813","0","360","1976.3122859302725","117","0","34.230764307692304"
"07/14/2008 12:04:11.546","3296","37","320","53753000","1177568.8115018308","0","0","0","0","0","0","813","0","357","835.91632187713583","117","42276658.004672445","13.846153846153841"
"07/14/2008 12:04:12.546","3392","77","280","55983000","2229934.125401766","0","0","0","0","0","0","813","0","357","32.999025174106855","117","106492.85408914193","24.609380000000002"
"07/14/2008 12:04:13.546","3503","68","289","57674000","1690950.5548176342","0","0","0","0","0","0","813","0","357","406.98809923759734","117","25165088.146211077","19.140619999999998"
"07/14/2008 12:04:14.546","3608","61","296","59278000","1603718.1577512161","0","0","0","0","0","0","813","0","357","515.90933254340871","117","29354969.069513652","17.96875"
"07/14/2008 12:04:15.546","3711","54","303","60853000","1575182.6635647416","0","0","0","0","0","0","813","0","357","587.06807842063699","117","27266137.874528017","17.578130000000002"
"07/14/2008 12:04:16.546","3779","57","296","62028000","1174966.6605260104","0","0","0","0","0","0","813","0","353","45.998694795060835","117","27266298.323542371","13.671869999999997"
"07/14/2008 12:04:17.546","3860","67","284","63526000","1497955.0860007505","0","0","0","0","0","0","813","0","351","9.9997001735697637","117","17825257.535641849","16.40625"
