"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 09:34:44.734","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 09:34:45.750","0","0","512","308000","305544.98665014503","0","0","0","0","0","0","681","0","455","88639.79106222","5","0","9.9999999999999982"
"07/22/2008 09:34:46.765","0","0","512","1653000","1324263.8955771995","0","0","0","0","0","0","681","0","437","504195.01731310633","46","16131.404955492071","18.461538461538463"
"07/22/2008 09:34:47.765","0","0","512","2742000","1088964.5056456178","0","0","0","0","0","0","681","0","433","396993.06017295149","84","0","13.671869999999997"
"07/22/2008 09:34:48.765","0","0","512","3000000","257991.87335757227","0","0","0","0","0","0","681","0","432","113349.42953760034","84","0","2.7343800000000029"
"07/22/2008 09:34:49.781","0","0","512","3953000","938292.41851714323","0","0","0","0","0","0","681","0","430","400192.05445180548","84","0","13.846153846153841"
"07/22/2008 09:34:50.796","0","0","512","5484000","1507410.5093670774","0","0","0","0","0","0","681","0","430","627120.18639661011","87","504.11115662700433","17.692307692307697"
"07/22/2008 09:34:51.796","0","0","512","7444000","1959934.3822171059","0","0","0","0","0","0","681","0","430","838207.93714904995","87","0","22.265619999999998"
"07/22/2008 09:34:52.796","0","0","512","9223000","1778939.9014903344","0","0","0","0","0","0","681","0","430","760082.32188983425","87","0","21.09375"
"07/22/2008 09:34:53.796","0","0","512","11174000","1950929.0724215056","0","0","0","0","0","0","681","0","430","830037.82331459469","87","0","24.21875"
"07/22/2008 09:34:54.796","0","0","512","12722000","1547858.5816684149","0","0","0","0","0","0","681","0","429","643962.16513221851","87","0","24.21875"
"07/22/2008 09:34:55.796","0","0","512","14771000","2049043.644084068","0","0","0","0","0","0","681","0","427","875462.64712129463","87","8192.1744911355217","24.609380000000002"
"07/22/2008 09:34:56.796","0","0","512","16736000","1964945.2302925086","0","0","0","0","0","0","681","0","425","838556.6265743979","88","0","24.609369999999998"
"07/22/2008 09:34:57.796","0","0","512","18650000","1913933.9198650008","0","0","0","0","0","0","681","0","425","817545.77356306592","88","0","22.265630000000002"
"07/22/2008 09:34:58.796","0","0","512","20007000","1356946.4284246506","0","0","0","0","0","0","681","0","425","568290.56416897452","88","0","25.390619999999998"
"07/22/2008 09:34:59.796","0","0","512","21291000","1283963.3256509863","0","0","0","0","0","0","681","0","421","477911.34923033306","101","0","21.09375"
"07/22/2008 09:35:00.796","0","0","512","23213000","1921934.7535331168","0","0","0","0","0","0","681","0","421","815746.30677873304","101","4095.8609523785881","22.65625"
"07/22/2008 09:35:01.796","0","0","512","25385000","2171721.488344471","0","0","0","0","0","0","681","0","414","916411.47513391788","101","0","25.390630000000002"
"07/22/2008 09:35:02.796","0","0","512","27535000","2150129.143205035","0","0","0","0","0","0","681","0","391","891159.52571389114","101","0","26.5625"
"07/22/2008 09:35:03.796","0","0","512","29679000","2143931.2691025632","0","0","0","0","0","0","681","0","388","907800.89740176301","101","0","26.953119999999998"
"07/22/2008 09:35:04.796","0","0","512","30455000","775974.80926267011","0","0","0","0","0","0","681","0","387","308685.9790208108","101","0","22.265630000000002"
"07/22/2008 09:35:05.796","0","0","512","32483000","2027926.4024010107","0","0","0","0","0","0","681","0","387","860275.77883156133","101","12287.55405951855","25"
"07/22/2008 09:35:06.796","0","0","512","34462000","1978934.4881926659","0","0","0","0","0","0","681","0","383","842609.10577423114","101","0","23.828119999999998"
"07/22/2008 09:35:07.796","0","0","512","36426000","1963932.7827858082","0","0","0","0","0","0","681","0","381","833225.48217281362","102","0","23.4375"
"07/22/2008 09:35:08.796","0","0","512","38268000","1841832.9110069259","0","0","0","0","0","0","681","0","381","779781.25912843272","102","0","25"
"07/22/2008 09:35:09.796","0","0","512","39501000","1232993.2956827586","0","0","0","0","0","0","681","0","381","511455.21899700921","102","0","26.5625"
"07/22/2008 09:35:10.796","0","0","512","41542000","2040991.0376101362","0","0","0","0","0","0","681","0","381","866278.19600342179","102","4095.9820137438105","25"
"07/22/2008 09:35:11.796","0","0","512","43414000","1871940.0799470416","0","0","0","0","0","0","681","0","380","794484.56886683975","102","0","23.046880000000002"
"07/22/2008 09:35:12.796","0","0","512","44250000","835972.14993595064","0","0","0","0","0","0","681","0","379","258938.37357591459","115","0","19.53125"
"07/22/2008 09:35:13.796","0","0","512","46194000","1943921.3450657618","0","0","0","0","0","0","681","0","379","826466.55951484165","115","0","22.265619999999998"
"07/22/2008 09:35:14.796","0","0","512","48213000","2018939.4325741157","0","0","0","0","0","0","681","0","380","861324.16059817467","116","0","24.21875"
"07/22/2008 09:35:15.796","0","0","512","50213000","1999739.7946108179","0","0","0","0","0","0","681","0","381","849861.41635247308","118","8190.9341987259104","24.21875"
"07/22/2008 09:35:16.796","0","0","512","52241000","2028095.1342184495","0","0","0","0","0","0","681","0","380","864252.54049960291","118","0","24.21875"
"07/22/2008 09:35:17.796","0","0","512","53395000","1153982.4481463619","0","0","0","0","0","0","681","0","380","469182.86381784361","119","0","24.609380000000002"
"07/22/2008 09:35:18.796","0","0","512","55404000","2008930.3914320441","0","0","0","0","0","0","681","0","372","845688.69725292455","119","0","23.828119999999998"
"07/22/2008 09:35:19.796","0","0","512","57346000","1941933.2226060252","0","0","0","0","0","0","681","0","370","827644.53972914349","119","0","24.21875"
"07/22/2008 09:35:20.796","0","0","512","58666000","1319956.4815787824","0","0","0","0","0","0","681","0","370","496441.63252396911","128","4095.8649610202219","20.3125"
"07/22/2008 09:35:21.796","0","0","512","60730000","2063922.340732865","0","0","0","0","0","0","681","0","370","878336.95078949933","128","0","23.828130000000002"
"07/22/2008 09:35:22.796","0","0","512","62752000","2021744.8690953807","0","0","0","0","0","0","681","0","370","857777.75408939656","128","0","24.21875"
"07/22/2008 09:35:23.796","0","0","512","64511000","1759106.4949760186","0","0","0","0","0","0","681","0","370","736388.58040740271","128","0","25.78125"
"07/22/2008 09:35:24.796","0","0","512","65464000","952968.99911475868","0","0","0","0","0","0","681","0","370","359506.30495670496","137","0","19.921869999999998"
"07/22/2008 09:35:25.796","0","0","512","67581000","2116934.9765088214","0","0","0","0","0","0","681","0","370","900331.34554298816","138","12287.622575030891","24.609380000000002"
"07/22/2008 09:35:26.796","0","0","512","69662000","2080923.222696261","0","0","0","0","0","0","681","0","370","888034.2352764057","138","0","24.609369999999998"
"07/22/2008 09:35:27.796","0","0","512","71851000","2188924.3845523288","0","0","0","0","0","0","681","0","370","931805.81117061351","138","0","25"
"07/22/2008 09:35:28.796","0","0","512","73857000","2005936.1668942429","0","0","0","0","0","0","681","0","370","848355.0035603547","138","0","24.609380000000002"
"07/22/2008 09:35:29.796","0","0","512","75003000","1145904.4241714387","0","0","0","0","0","0","681","0","370","472984.55003426754","138","0","24.21875"
"07/22/2008 09:35:30.796","0","0","512","77047000","2044036.7845371771","0","0","0","0","0","0","681","0","370","872349.69882703223","138","4096.0737130451453","23.828119999999998"
"07/22/2008 09:35:31.796","0","0","512","78335000","1287954.2476072016","0","0","0","0","0","0","681","0","369","489938.59576136188","149","0","22.265630000000002"
"07/22/2008 09:35:32.796","0","0","512","80332000","1996919.5001888962","0","0","0","0","0","0","681","0","369","840738.10816866229","149","0","25.390619999999998"
"07/22/2008 09:35:33.796","0","0","512","81744000","1411959.0660534007","0","0","0","0","0","0","681","0","368","586234.00455585844","152","0","22.265630000000002"
"07/22/2008 09:35:34.796","0","0","512","83766000","2021938.4175804269","0","0","0","0","0","0","681","0","368","857861.87199863372","152","0","24.609369999999998"
"07/22/2008 09:35:35.796","0","0","512","85811000","2044934.0210285485","0","0","0","0","0","0","681","0","368","868042.99294292089","152","8191.7356969515258","25"
"07/22/2008 09:35:36.796","0","0","512","87733000","1921794.0919458689","0","0","0","0","0","0","681","0","359","816641.50203998841","153","0","24.21875"
"07/22/2008 09:35:37.796","0","0","512","88891000","1158046.3357498124","0","0","0","0","0","0","681","0","357","475976.04475343128","154","0","25.390630000000002"
"07/22/2008 09:35:38.796","0","0","512","89136000","244993.57359265277","0","0","0","0","0","0","681","0","357","81643.858406309097","154","0","25.390619999999998"
"07/22/2008 09:35:39.796","0","0","512","90323000","1186947.8164915417","0","0","0","0","0","0","681","0","356","493493.30383809877","155","0","25"
"07/22/2008 09:35:40.796","0","0","512","92476000","2152931.0290254587","0","0","0","0","0","0","681","0","355","920759.50268709857","155","12287.606356091424","27.34375"
"07/22/2008 09:35:41.796","0","0","512","94462000","1985933.5936931227","0","0","0","0","0","0","681","0","355","844021.77731957717","155","0","25"
"07/22/2008 09:35:42.796","0","0","512","96485000","2022919.0058640807","0","0","0","0","0","0","681","0","355","860461.54862581217","155","0","24.609380000000002"
"07/22/2008 09:35:43.796","0","0","512","97804000","1318871.1347122435","0","0","0","0","0","0","681","0","355","554438.82645943598","155","0","25.390619999999998"
"07/22/2008 09:35:44.796","0","0","512","98093000","289011.1108932721","0","0","0","0","0","0","681","0","355","101279.89365684093","155","0","25.390630000000002"
"07/22/2008 09:35:45.796","0","0","512","99539000","1445947.5344495317","0","0","0","0","0","0","681","0","355","608976.90354926034","155","4095.8513838902368","25.390619999999998"
"07/22/2008 09:35:46.796","0","0","512","101164000","1624946.316507112","0","0","0","0","0","0","681","0","343","685134.36515634658","155","0","23.828130000000002"
"07/22/2008 09:35:47.796","0","0","512","102581000","1416952.9329542876","0","0","0","0","0","0","681","0","343","502398.31179268059","188","0","16.796869999999998"
"07/22/2008 09:35:48.796","0","0","512","104546000","1964932.1959497989","0","0","0","0","0","0","681","0","343","835599.16592220799","188","0","24.21875"
"07/22/2008 09:35:49.796","0","0","512","106618000","2071914.4957474568","0","0","0","0","0","0","681","0","336","881137.63700568024","196","0","24.21875"
"07/22/2008 09:35:50.796","0","0","512","108703000","2084691.8108326453","0","0","0","0","0","0","681","0","336","884913.17938924115","196","8190.7891195880238","26.171880000000002"
"07/22/2008 09:35:51.796","0","0","512","110949000","2246184.2044563214","0","0","0","0","0","0","681","0","318","923449.73001142091","196","0","29.296869999999998"
"07/22/2008 09:35:52.796","0","0","512","112892000","1942943.9127676885","0","0","0","0","0","0","681","0","311","798867.93896803469","206","0","27.734380000000002"
"07/22/2008 09:35:53.796","0","0","512","114871000","1978942.0276179556","0","0","0","0","0","0","681","0","311","840036.3914415196","206","0","23.046869999999998"
"07/22/2008 09:35:54.796","0","0","512","116897000","2025932.0662821592","0","0","0","0","0","0","681","0","311","861817.1014792762","206","0","25.390630000000002"
"07/22/2008 09:35:55.796","0","0","512","118957000","2059927.5429543897","0","0","0","0","0","0","681","0","310","874858.22724651603","206","4095.8559300685342","25.390619999999998"
"07/22/2008 09:35:56.796","0","0","512","120625000","1667941.7999833168","0","0","0","0","0","0","681","0","306","689927.92612835101","206","0","25.78125"
"07/22/2008 09:35:57.796","0","0","512","122669000","2043784.3936604701","0","0","0","0","0","0","681","0","306","870540.1635134063","206","0","24.21875"
"07/22/2008 09:35:58.796","0","0","512","124739000","2070070.6402775962","0","0","0","0","0","0","681","0","306","881280.07330658531","206","0","25"
"07/22/2008 09:35:59.796","0","0","512","126395000","1655955.0662209503","0","0","0","0","0","0","681","0","306","696344.1049389008","206","0","25.390630000000002"
"07/22/2008 09:36:00.796","0","0","512","128179000","1783930.7219163906","0","0","0","0","0","0","681","0","306","667703.07007539773","215","12287.522820016035","21.484369999999998"
"07/22/2008 09:36:01.796","0","0","512","129916000","1736950.2304844523","0","0","0","0","0","0","681","0","306","722844.28805938025","218","0","23.046880000000002"
"07/22/2008 09:36:02.796","0","0","512","131933000","2016931.8764562521","0","0","0","0","0","0","681","0","306","859043.98507828545","218","0","25"
"07/22/2008 09:36:03.796","0","0","512","133937000","2003940.4686826682","0","0","0","0","0","0","681","0","311","854281.62174595019","223","0","25"
"07/22/2008 09:36:04.796","0","0","512","135456000","1518876.7617786229","0","0","0","0","0","0","681","0","314","636031.39385281887","226","0","24.21875"
"07/22/2008 09:36:05.796","0","0","512","136428000","972003.88918194687","0","0","0","0","0","0","681","0","314","362154.44905237609","235","0","18.359369999999998"
"07/22/2008 09:36:06.796","0","0","512","138248000","1819952.6636229241","0","0","0","0","0","0","681","0","314","776451.80474099948","235","0","19.53125"
"07/22/2008 09:36:07.796","0","0","512","140443000","2194927.4366059881","0","0","0","0","0","0","681","0","314","936674.03394351341","235","0","23.046880000000002"
"07/22/2008 09:36:08.796","0","0","512","142616000","2172928.057967436","0","0","0","0","0","0","681","0","314","926833.31409108592","235","0","25"
"07/22/2008 09:36:09.796","0","0","512","144689000","2072929.9850737781","0","0","0","0","0","0","681","0","314","884317.13145684544","235","0","23.828119999999998"
"07/22/2008 09:36:10.796","0","0","512","146896000","2206917.7381695826","0","0","0","0","0","0","681","0","314","939559.97833957803","235","0","24.609380000000002"
"07/22/2008 09:36:11.796","0","0","512","147719000","822923.27159326174","0","0","0","0","0","0","681","0","314","327776.4385068923","236","0","25"
"07/22/2008 09:36:12.796","0","0","512","149723000","2004073.7239405701","0","0","0","0","0","0","681","0","316","847034.15987965802","238","0","23.828119999999998"
"07/22/2008 09:36:13.796","0","0","512","151435000","1711928.1897898866","0","0","0","0","0","0","681","0","314","666195.05513223575","254","0","19.140630000000002"
