"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 13:35:27.078","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 13:35:28.093","0","10","463","251000","247360.02619309662","0","0","0","0","0","0","681","0","473","64878.297228566254","1","0","12.692312615384616"
"07/14/2008 13:35:29.093","23","67","398","1377000","1125970.5383099443","0","0","0","0","0","0","681","0","465","443074.40669413854","31","5767017.1025611768","16.015619999999998"
"07/14/2008 13:35:30.093","117","50","418","2358000","980971.54763157014","0","0","0","0","0","0","681","0","468","384632.84400325961","61","24116548.516997337","11.71875"
"07/14/2008 13:35:31.093","186","23","437","2997000","638986.33561882225","0","0","0","0","0","0","681","0","460","253192.58561191638","72","17301134.024498273","9.375"
"07/14/2008 13:35:32.093","220","29","424","3668000","670926.35257814708","0","0","0","0","0","0","681","0","453","293463.78655182692","72","7863968.7740683965","10.9375"
"07/14/2008 13:35:33.093","302","34","417","5131000","1463083.4064709868","0","0","0","0","0","0","681","0","451","636665.29458524799","72","21497033.488370668","18.75"
"07/14/2008 13:35:34.093","377","35","416","6345000","1213973.3433292639","0","0","0","0","0","0","681","0","451","512497.74647144787","75","19398230.049764652","15.625"
"07/14/2008 13:35:35.093","484","29","422","7888000","1542957.382653828","0","0","0","0","0","0","681","0","451","679214.23972268798","82","28310770.040691998","17.96875"
"07/14/2008 13:35:36.093","592","38","412","9816000","1927949.6697221918","0","0","0","0","0","0","681","0","450","836417.16483026987","82","3932057.3512939904","24.21875"
"07/14/2008 13:35:37.093","715","3","439","11277000","1460963.5042178547","0","0","0","0","0","0","681","0","442","645354.87863147235","82","51362556.931201383","19.140630000000002"
"07/14/2008 13:35:38.093","778","29","413","12740000","1462957.3046584472","0","0","0","0","0","0","681","0","442","633357.51592299971","82","4521852.0330475895","18.75"
