"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 09:48:49.968","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 09:48:50.968","0","0","512","615000","617997.32099583268","0","0","0","0","0","0","809","0","469","234834.96248364571","4","0","14.84375"
"07/22/2008 09:48:51.968","0","0","512","2463000","1847953.254881104","0","0","0","0","0","0","809","0","463","715290.90627475525","46","0","18.75"
"07/22/2008 09:48:52.968","0","0","512","3741000","1277920.5584571215","0","0","0","0","0","0","809","0","455","493644.31275142368","72","0","14.453119999999997"
"07/22/2008 09:48:53.968","0","0","512","5286000","1545027.388788315","0","0","0","0","0","0","809","0","453","639912.34376247996","72","0","14.84375"
"07/22/2008 09:48:54.984","0","0","512","6639000","1332168.694522196","0","0","0","0","0","0","809","0","452","548674.30428475374","72","0","13.076923076923075"
"07/22/2008 09:48:56.000","0","0","512","8675000","2004632.1080250824","0","0","0","0","0","0","809","0","452","819662.16814616148","75","504.11180712615044","18.461538461538463"
"07/22/2008 09:48:57.015","0","0","512","11372000","2655389.7191514494","0","0","0","0","0","0","809","0","447","1101567.3059282526","75","0","23.076923076923073"
"07/22/2008 09:48:58.015","0","0","512","13948000","2575994.0914612664","0","0","0","0","0","0","809","0","433","1064493.5583789411","76","0","24.609380000000002"
"07/22/2008 09:48:59.015","0","0","512","16722000","2773932.785821538","0","0","0","0","0","0","809","0","433","1147041.2064526048","76","0","25.78125"
"07/22/2008 09:49:00.031","0","0","512","18856000","2101130.2257163455","0","0","0","0","0","0","809","0","433","856517.76127670391","76","12098.729247236388","24.999995076923078"
"07/22/2008 09:49:01.031","0","0","512","21560000","2703955.541322479","0","0","0","0","0","0","809","0","433","1120145.5824666987","76","0","24.609380000000002"
"07/22/2008 09:49:02.046","0","0","512","24313000","2710561.5780991213","0","0","0","0","0","0","809","0","430","1118597.4664205487","76","0","25.384615384615383"
"07/22/2008 09:49:03.046","0","0","512","26907000","2593959.7913859989","0","0","0","0","0","0","809","0","429","1075606.3271742414","77","0","22.65625"
