"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 10:19:16.968","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 10:19:17.968","0","25","442","482000","482736.44400842651","0","0","0","0","0","0","809","0","467","176994.01520942981","1","0","14.453130000000003"
"07/14/2008 10:19:18.968","84","13","448","1556000","1073945.7053423903","0","0","0","0","0","0","809","0","461","444451.53020144661","19","20446198.317075882","10.9375"
"07/14/2008 10:19:19.968","173","1","459","2650000","1093976.3791645369","0","0","0","0","0","0","809","0","460","437215.5597625362","40","18976358.26771979","13.28125"
"07/14/2008 10:19:20.968","201","4","393","3864000","1213964.2923412868","0","0","0","0","0","0","809","0","448","455987.58753864834","65","532464.33804438915","13.671869999999997"
"07/14/2008 10:19:21.968","279","3","450","4132000","267993.52616595285","0","0","0","0","0","0","809","0","453","129729.86615704314","75","26103689.421508979","3.125"
"07/14/2008 10:19:22.968","284","29","421","4682000","549981.15406406089","0","0","0","0","0","0","809","0","450","227859.19206020972","75","0","3.90625"
"07/14/2008 10:19:23.968","366","60","369","6604000","1921936.1527435132","0","0","0","0","0","0","809","0","429","807670.16897111211","75","23067905.677722167","21.09375"
"07/14/2008 10:19:24.968","499","21","408","8154000","1549949.0449827721","0","0","0","0","0","0","809","0","429","665714.11445848446","75","33160125.851398338","16.796880000000002"
"07/14/2008 10:19:25.968","534","66","355","9417000","1262806.0367516449","0","0","0","0","0","0","809","0","421","516865.61098066432","78","10353097.794995895","14.453119999999997"
"07/14/2008 10:19:26.968","694","37","384","11594000","2177183.2813055292","0","0","0","0","0","0","809","0","421","930623.34244485688","78","29710789.136338849","20.703130000000002"
"07/14/2008 10:19:27.968","783","22","398","12779000","1184967.4070272131","0","0","0","0","0","0","809","0","420","513725.86977735063","79","35912740.206616558","12.109369999999997"
"07/14/2008 10:19:28.968","892","6","414","14312000","1532952.9608449216","0","0","0","0","0","0","809","0","420","655958.87169086165","79","28310683.277570102","17.1875"
"07/14/2008 10:19:29.968","992","32","388","16370000","2057933.1474409704","0","0","0","0","0","0","809","0","420","867435.82109413703","79","0","21.875"
"07/14/2008 10:19:30.968","1168","9","411","18840000","2469918.8099762187","0","0","0","0","0","0","809","0","420","1054117.3495441503","79","31587313.67649794","25.78125"
"07/14/2008 10:19:31.968","1195","18","402","19449000","608980.15772723197","0","0","0","0","0","0","809","0","420","260855.50059992881","79","40827597.722945482","5.46875"
"07/14/2008 10:19:32.968","1326","2","416","21389000","1939715.5947492225","0","0","0","0","0","0","809","0","418","814008.64831030671","79","7338955.9465764556","26.5625"
"07/14/2008 10:19:33.968","1404","9","407","22795000","1406076.9872905868","0","0","0","0","0","0","809","0","418","599589.8294942975","79","34211665.199998304","14.0625"
"07/14/2008 10:19:34.968","1416","0","354","23815000","1019995.5176194045","0","0","0","0","0","0","809","0","418","429326.11332206242","79","23461784.896949504","10.9375"
"07/14/2008 10:19:35.968","1492","139","278","26313000","2497917.8334031128","0","0","0","0","0","0","809","0","417","1048391.5141727349","79","19922288.67553705","26.171880000000002"
"07/14/2008 10:19:36.968","1668","78","338","28203000","1889944.5861733435","0","0","0","0","0","0","809","0","416","813243.15543038968","79","35453936.478362873","19.921869999999998"
"07/14/2008 10:19:37.968","1757","43","373","29084000","880973.50222697179","0","0","0","0","0","0","809","0","416","386785.36633471737","79","34356214.639546677","9.375"
"07/14/2008 10:19:38.968","1831","61","353","30587000","1502947.5185735701","0","0","0","0","0","0","809","0","414","638641.69926964107","79","19397978.641957615","16.796880000000002"
