"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 10:15:30.578","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 10:15:31.593","0","0","512","368000","366865.87795663864","0","0","0","0","0","0","681","0","489","154797.46213476907","1","0","9.9999999999999982"
"07/22/2008 10:15:32.593","0","0","512","2185000","1816938.1827368506","0","0","0","0","0","0","1365","0","458","743084.71820230107","23","0","17.578130000000002"
"07/22/2008 10:15:33.593","0","0","512","3872000","1686955.5860112461","0","0","0","0","0","0","1365","0","458","613859.83836291626","73","0","19.921869999999998"
"07/22/2008 10:15:34.593","0","0","512","4327000","454986.4480753541","0","0","0","0","0","0","1365","0","454","173207.84094610179","73","12287.634008681211","6.25"
"07/22/2008 10:15:35.593","0","0","512","6480000","2152936.0032498022","0","0","0","0","0","0","1365","0","450","828962.3588137686","73","0","16.796880000000002"
"07/22/2008 10:15:36.593","0","0","512","8796000","2315827.8886099849","0","0","0","0","0","0","1365","0","450","876479.86037203763","76","0","19.140619999999998"
"07/22/2008 10:15:37.593","0","0","512","11743000","2946984.8502945439","0","0","0","0","0","0","1365","0","449","1136590.1570768161","76","0","23.046880000000002"
"07/22/2008 10:15:38.593","0","0","512","14721000","2977965.7179818577","0","0","0","0","0","0","1365","0","449","1142753.844741764","76","0","25"
"07/22/2008 10:15:39.593","0","0","512","17528000","2806924.0260197101","0","0","0","0","0","0","1365","0","449","1077507.8354916994","76","511.98614225938428","22.65625"
