"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 13:51:41.265","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 13:51:42.265","0","54","425","911000","925303.84678146266","0","0","0","0","0","0","1365","0","479","421936.5227298293","1","0","19.53125"
"07/14/2008 13:51:43.265","78","53","410","2078000","1166952.1664554626","0","0","0","0","0","0","1365","0","463","466694.87010719348","19","19922127.389006738","11.71875"
"07/14/2008 13:51:44.281","167","59","403","3317000","1219906.1224287006","0","0","0","0","0","0","1365","0","462","469656.96501006419","47","20132125.507280096","16.153846153846153"
"07/14/2008 13:51:45.296","290","0","455","4303000","970796.54240262858","0","0","0","0","0","0","1365","0","455","375513.16074351739","63","8154407.3969485993","10.769230769230765"
"07/14/2008 13:51:46.296","305","20","429","4785000","481984.5811685751","0","0","0","0","0","0","1365","0","449","190833.89516641258","73","20065662.093446687","6.25"
"07/14/2008 13:51:47.296","358","7","427","5469000","683972.87437288486","0","0","0","0","0","0","1365","0","434","269527.31083730794","75","4439887.9188297791","9.375"
"07/14/2008 13:51:48.296","390","5","416","6061000","591982.80269288458","0","0","0","0","0","0","1365","0","421","232873.23495121443","75","11812520.842145065","5.46875"
"07/14/2008 13:51:49.296","537","10","403","8593000","2531711.8843858042","0","0","0","0","0","0","1365","0","413","1010935.9527725718","75","8387653.4625015138","25.78125"
"07/14/2008 13:51:50.296","624","0","414","9815000","1222049.3552049338","0","0","0","0","0","0","1365","0","414","493313.92358957662","77","38889506.639976047","14.453119999999997"
"07/14/2008 13:51:51.296","647","7","311","11736000","1920925.438921002","0","0","0","0","0","0","1365","0","407","745515.06269386748","78","22465687.990132757","19.921880000000002"
"07/14/2008 13:51:52.296","758","92","314","13494000","1757949.9131793582","0","0","0","0","0","0","1365","0","406","711162.73782971303","78","35114007.545445092","17.578119999999998"
"07/14/2008 13:51:53.296","883","100","304","15656000","2161926.6398453573","0","0","0","0","0","0","1365","0","404","868714.52211184788","80","32504753.023763664","22.65625"
"07/14/2008 13:51:54.296","1031","51","353","17253000","1596945.0746549736","0","0","0","0","0","0","1365","0","404","656595.41705059446","80","38795977.65075285","16.40625"
"07/14/2008 13:51:55.296","1135","65","338","19210000","1956932.9500715195","0","0","0","0","0","0","1365","0","403","782063.20435433555","80","27311192.243112389","17.96875"
"07/14/2008 13:51:56.296","1260","45","357","20914000","1703804.1921468447","0","0","0","0","0","0","1365","0","402","690731.61841617024","80","33026348.482637297","16.40625"
