"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 10:38:09.968","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 10:38:10.968","0","0","512","856000","856568.49766484846","0","0","0","0","0","0","1365","0","493","398081.20331254322","0","12296.160863674833","17.1875"
"07/22/2008 10:38:11.968","0","0","512","2652000","1795968.732087469","0","0","0","0","0","0","1546","0","457","744172.04392456182","23","0","16.40625"
"07/22/2008 10:38:12.968","0","0","512","4446000","1793979.395828401","0","0","0","0","0","0","1546","0","454","677064.22379728372","63","0","16.796880000000002"
"07/22/2008 10:38:13.968","0","0","512","4958000","511987.82624975289","0","0","0","0","0","0","1546","0","448","206132.09871024475","73","0","4.6875"
"07/22/2008 10:38:14.968","0","0","512","6471000","1512956.7353819034","0","0","0","0","0","0","1546","0","441","618869.3027695308","75","0","13.28125"
"07/22/2008 10:38:15.968","0","0","512","9603000","3131917.9089219742","0","0","0","0","0","0","1546","0","440","1283126.3678200259","75","511.98658025799836","23.046869999999998"
"07/22/2008 10:38:16.968","0","0","512","12234000","2630927.5084951827","0","0","0","0","0","0","1546","0","439","1067125.5968560155","78","0","19.53125"
"07/22/2008 10:38:17.968","0","0","512","15687000","3452748.315716303","0","0","0","0","0","0","1546","0","439","1412004.0735190273","78","0","24.609380000000002"
"07/22/2008 10:38:18.968","0","0","512","18928000","3241063.2264245581","0","0","0","0","0","0","1546","0","439","1324165.8317302729","78","0","23.828119999999998"
"07/22/2008 10:38:19.968","0","0","512","22327000","3398933.6740235873","0","0","0","0","0","0","1546","0","438","1387454.9255373918","78","0","24.21875"
"07/22/2008 10:38:20.968","0","0","512","25493000","3165910.5952282608","0","0","0","0","0","0","1546","0","437","1284692.7204981074","78","12287.652998788652","25.390630000000002"
"07/22/2008 10:38:21.968","0","0","512","28207000","2713913.8847833131","0","0","0","0","0","0","1546","0","421","1105578.9188691298","78","0","25"
"07/22/2008 10:38:22.968","0","0","512","31655000","3447915.8840978956","0","0","0","0","0","0","1546","0","420","1406423.688664895","79","0","25"
"07/22/2008 10:38:23.968","0","0","512","35033000","3377915.9197945674","0","0","0","0","0","0","1546","0","420","1378144.6963962573","79","0","24.609369999999998"
"07/22/2008 10:38:24.968","0","0","512","38327000","3293715.3205090011","0","0","0","0","0","0","1546","0","412","1348434.4533053231","88","0","24.609380000000002"
"07/22/2008 10:38:25.968","0","0","512","41873000","3546109.9212073493","0","0","0","0","0","0","1546","0","394","1440350.6475393323","88","4096.1269704639881","26.5625"
"07/22/2008 10:38:26.968","0","0","512","44071000","2197937.6174194035","0","0","0","0","0","0","1546","0","379","914385.04762606649","95","0","37.109369999999998"
"07/22/2008 10:38:27.968","0","0","512","46542000","2470943.8232329683","0","0","0","0","0","0","1546","0","374","952521.34448150604","104","0","17.1875"
