"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 12:36:00.062","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 12:36:01.062","0","58","433","962000","963290.07927304925","0","0","0","0","0","0","1365","0","491","451014.01726130367","0","12304.478684103149","19.140630000000002"
"07/14/2008 12:36:02.078","102","13","454","1972000","994434.25125590456","0","0","0","0","0","0","1546","0","467","438037.45720618259","7","25741834.445880529","11.153841230769235"
"07/14/2008 12:36:03.093","169","8","454","2929000","942252.56718176848","0","0","0","0","0","0","1546","0","462","383629.71448411827","19","16587236.966479668","8.0769280000000059"
"07/14/2008 12:36:04.093","212","37","423","3952000","1022976.367279293","0","0","0","0","0","0","1546","0","460","409347.54328479915","40","10444558.710614624","12.109369999999997"
"07/14/2008 12:36:05.093","335","4","451","5261000","1308966.2998689052","0","0","0","0","0","0","1546","0","455","521475.57429513789","62","14364302.182330379","10.546880000000003"
"07/14/2008 12:36:06.093","373","7","446","5852000","590983.10938627017","0","0","0","0","0","0","1546","0","453","244599.00922933672","72","14737498.794392722","6.25"
"07/14/2008 12:36:07.093","416","7","443","6569000","716981.69143399631","0","0","0","0","0","0","1546","0","450","305347.20277242392","72","9211668.7744038999","6.25"
"07/14/2008 12:36:08.093","589","0","450","9290000","2720883.7701521902","0","0","0","0","0","0","1546","0","450","1144260.1198600084","72","11009577.696360376","24.609369999999998"
"07/14/2008 12:36:09.093","615","3","382","10814000","1523968.9251455266","0","0","0","0","0","0","1546","0","449","631108.13123803795","72","39779540.865715683","13.28125"
"07/14/2008 12:36:10.093","691","16","433","11231000","416992.65590045048","0","0","0","0","0","0","1546","0","449","180405.82268188099","75","32570818.360802602","4.2968800000000034"
"07/14/2008 12:36:11.093","717","162","282","13991000","2759944.7990341121","0","0","0","0","0","0","1546","0","444","1132061.3579238167","78","6365056.6940924441","25"
"07/14/2008 12:36:12.093","938","65","377","15940000","1948947.6671910868","0","0","0","0","0","0","1546","0","442","844557.32209145627","82","43580269.790060706","18.359369999999998"
"07/14/2008 12:36:13.093","1021","25","417","16640000","699984.86845539487","0","0","0","0","0","0","1546","0","442","308392.33349539328","83","32107849.925906081","6.25"
"07/14/2008 12:36:14.093","1192","36","406","19635000","2994901.2530871052","0","0","0","0","0","0","1546","0","442","1252901.6897317921","83","4001660.058562255","26.171880000000002"
"07/14/2008 12:36:15.093","1364","1","434","21919000","2283888.5376064819","0","0","0","0","0","0","1546","0","435","972017.56186884618","83","42792919.54377307","19.140619999999998"
"07/14/2008 12:36:16.125","1379","1","433","22112000","186630.47895449292","0","0","0","0","0","0","1546","0","434","86783.172713839202","83","45311791.575982265","0.37879272727272539"
"07/14/2008 12:36:17.140","1540","12","422","24920000","2772567.9696762399","0","0","0","0","0","0","1546","0","434","1163495.1150354603","83","4189911.0350179696","24.230764307692311"
"07/14/2008 12:36:18.140","1668","1","431","26854000","1933966.8381326897","0","0","0","0","0","0","1546","0","433","820865.92455344484","83","45284599.501742497","16.40625"
"07/14/2008 12:36:19.140","1672","0","389","27607000","752985.7359830644","0","0","0","0","0","0","1546","0","433","311835.09282163979","83","31260079.831666894","5.8593800000000034"
"07/14/2008 12:36:20.156","1728","131","301","29972000","2328512.3637734172","0","0","0","0","0","0","1546","0","432","956539.09503258369","83","14453577.389000021","23.84615384615385"
"07/14/2008 12:36:21.171","1881","68","364","31407000","1412903.8488692441","0","0","0","0","0","0","1546","0","432","611144.42146399838","83","39748555.435490444","14.999995076923078"
"07/14/2008 12:36:22.171","1957","77","355","32834000","1426974.2419751652","0","0","0","0","0","0","1546","0","432","600722.1564852607","83","19971735.494222306","12.5"
"07/14/2008 12:36:23.171","2085","58","374","34592000","1757941.866315823","0","0","0","0","0","0","1546","0","432","748772.23872109747","83","33553322.419367108","17.1875"
"07/14/2008 12:36:24.171","2186","76","350","36564000","1971958.2078555359","0","0","0","0","0","0","1546","0","426","827569.46113820456","83","26213844.444223206","18.359380000000002"
"07/14/2008 12:36:25.171","2348","46","379","38742000","2177859.493462794","0","0","0","0","0","0","1546","0","425","924637.34620136139","83","42005865.954294436","20.3125"
"07/14/2008 12:36:26.171","2424","64","360","40283000","1541014.9513237821","0","0","0","0","0","0","1546","0","424","650089.30733382108","83","20381893.750380352","13.28125"
"07/14/2008 12:36:27.171","2594","5","419","42075000","1791938.1886374669","0","0","0","0","0","0","1546","0","424","771110.4012116798","83","42760765.004286066","17.1875"
"07/14/2008 12:36:28.171","2659","64","358","44008000","1932965.9129982993","0","0","0","0","0","0","1546","0","422","801385.86791352148","86","2396117.7455199198","16.796869999999998"
"07/14/2008 12:36:29.171","2822","45","377","46391000","2382936.0942302672","0","0","0","0","0","0","1546","0","422","1007915.9696293488","87","16932409.905284222","20.3125"
"07/14/2008 12:36:30.171","3023","2","420","48995000","2603930.9194397214","0","0","0","0","0","0","1546","0","422","1105339.676071492","87","43649913.996731751","23.046880000000002"
"07/14/2008 12:36:31.515","3037","11","411","49344000","257443.955718246","0","0","0","0","0","0","1546","0","422","115804.04504382808","87","40798809.302934088","2.3255813953488413"
"07/14/2008 12:36:32.515","3109","15","406","50584000","1254850.4751040493","0","0","0","0","0","0","1546","0","421","519082.05471725477","87","4145.0544726017624","26.953119999999998"
"07/14/2008 12:36:33.515","3131","5","416","50779000","194995.25905254387","0","0","0","0","0","0","1546","0","421","87889.86312126249","87","24640936.901397876","1.9531300000000029"
"07/14/2008 12:36:34.531","3199","68","352","52854000","2043012.1580675421","0","0","0","0","0","0","1546","0","420","786740.84434375528","96","185511.4114575682","18.076918153846155"
