"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 10:55:18.593","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 10:55:19.593","0","0","512","786000","793749.18594096904","0","0","0","0","0","0","681","0","493","367760.35756249703","0","12409.147578680188","18.75"
"07/22/2008 10:55:20.593","0","0","512","2815000","2028659.0700841215","0","0","0","0","0","0","1674","0","465","861771.17350942618","19","0","20.3125"
"07/22/2008 10:55:21.593","0","0","512","4833000","2018216.7991217086","0","0","0","0","0","0","1674","0","460","788024.65049551986","56","0","16.40625"
"07/22/2008 10:55:22.593","0","0","512","5750000","916972.65327468258","0","0","0","0","0","0","1674","0","452","362024.20341145009","74","12287.633547916357","7.8125"
"07/22/2008 10:55:23.593","0","0","512","6847000","1096972.4765051457","0","0","0","0","0","0","1674","0","444","452126.65595449734","74","0","4.2968699999999966"
"07/22/2008 10:55:24.593","0","0","512","9753000","2905903.3561082799","0","0","0","0","0","0","1674","0","442","1178315.8118330943","74","511.98297258342711","19.140630000000002"
"07/22/2008 10:55:25.593","0","0","512","12708000","2954907.0450984547","0","0","0","0","0","0","1674","0","441","1180287.8707295544","77","0","21.484369999999998"
"07/22/2008 10:55:26.593","0","0","512","16468000","3759885.9520269213","0","0","0","0","0","0","1674","0","441","1525024.7416871407","77","0","23.828130000000002"
"07/22/2008 10:55:27.593","0","0","512","20280000","3811549.398199447","0","0","0","0","0","0","1674","0","441","1545195.3268338575","77","0","25.78125"
"07/22/2008 10:55:28.593","0","0","512","23905000","3625137.6819449351","0","0","0","0","0","0","1674","0","441","1464806.6330390417","77","0","24.609369999999998"
"07/22/2008 10:55:29.593","0","0","512","27518000","3612962.2286148244","0","0","0","0","0","0","1674","0","426","1462895.706289826","77","12287.871537564062","23.046880000000002"
"07/22/2008 10:55:30.593","0","0","512","31142000","3623881.0269488688","0","0","0","0","0","0","1674","0","424","1461456.0199806511","77","0","25"
"07/22/2008 10:55:31.593","0","0","512","33957000","2814905.2213750854","0","0","0","0","0","0","1674","0","424","1136109.7468756167","77","0","23.828119999999998"
"07/22/2008 10:55:32.593","0","0","512","37738000","3780882.3661072138","0","0","0","0","0","0","1674","0","415","1529938.3993099474","86","0","25.390630000000002"
"07/22/2008 10:55:33.593","0","0","512","41540000","3801884.877676372","0","0","0","0","0","0","1674","0","415","1537582.4414983278","86","0","25.390619999999998"
"07/22/2008 10:55:34.593","0","0","512","45651000","4110564.9621823868","0","0","0","0","0","0","1674","0","390","1655184.8250543021","86","4095.5665495254334","30.859380000000002"
"07/22/2008 10:55:35.593","0","0","512","50366000","4715202.9527052147","0","0","0","0","0","0","1674","0","382","1943161.6379504863","93","0","35.9375"
