"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 13:04:30.453","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 13:04:31.468","0","71","416","1185000","1182652.8831319306","0","0","0","0","0","0","1365","0","487","538495.29133687506","0","12263.661289388323","22.692312615384612"
"07/14/2008 13:04:32.468","107","54","406","2713000","1527939.2832513948","0","0","0","0","0","0","1674","0","460","653298.03945741779","10","3882853.7044368014","14.84375"
"07/14/2008 13:04:33.468","205","16","441","3621000","907966.4799495053","0","0","0","0","0","0","1674","0","457","389494.62074741395","19","29359044.131086905","8.9843699999999966"
"07/14/2008 13:04:34.468","249","20","433","4368000","746979.74535929889","0","0","0","0","0","0","1674","0","459","313227.50671668723","31","20848074.696502935","7.4218800000000034"
"07/14/2008 13:04:35.484","285","54","386","5295000","912634.2855562123","0","0","0","0","0","0","1674","0","440","357366.7147601085","46","19009319.588533644","9.6153796923076911"
"07/14/2008 13:04:36.500","374","50","384","6615000","1299735.5184457465","0","0","0","0","0","0","1674","0","434","521667.55864248099","62","8470053.4091275577","11.153851076923072"
"07/14/2008 13:04:37.515","456","16","419","7274000","648848.3386440312","0","0","0","0","0","0","1674","0","435","281471.19698006433","72","14550712.480531281","6.9230769230769207"
"07/14/2008 13:04:38.515","494","23","407","7936000","661974.36491832463","0","0","0","0","0","0","1674","0","430","280406.14121948916","77","20516069.511352926","7.03125"
"07/14/2008 13:04:39.515","565","77","339","10044000","2107918.2360926531","0","0","0","0","0","0","1674","0","416","867437.35302729125","77","8531637.0668685772","23.4375"
