"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/14/2008 14:15:03.390","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/14/2008 14:15:04.406","0","24","464","415000","411566.90969178156","0","0","0","0","0","0","1365","0","488","126394.6772850792","0","389963.11797918932","16.538466461538459"
"07/14/2008 14:15:05.421","45","93","370","2302000","1857885.8481796752","0","0","0","0","0","0","1995","0","463","833162.85350331559","10","11678999.288437137","18.461538461538463"
"07/14/2008 14:15:06.421","193","40","421","3756000","1453944.1965018515","0","0","0","0","0","0","1995","0","461","642882.32568116637","22","32295720.465373069","14.0625"
"07/14/2008 14:15:07.421","331","5","448","5248000","1491931.0960236299","0","0","0","0","0","0","1995","0","453","622125.26750367659","43","6336219.3653665436","14.84375"
"07/14/2008 14:15:08.421","359","8","382","6634000","1385699.72608703","0","0","0","0","0","0","1995","0","452","561067.41961259337","62","33203173.04534594","12.109369999999997"
"07/14/2008 14:15:09.421","449","41","407","7551000","917141.01210723899","0","0","0","0","0","0","1995","0","448","397895.17711087386","72","29954557.567986071","10.9375"
"07/14/2008 14:15:10.421","510","53","391","8732000","1180954.0319389075","0","0","0","0","0","0","1995","0","444","502587.43702855083","72","14679492.60789264","7.4218800000000034"
"07/14/2008 14:15:11.421","607","141","303","11803000","3070875.7577584637","0","0","0","0","0","0","1995","0","444","1296061.5636246675","72","25164805.87613681","23.828119999999998"
"07/14/2008 14:15:12.421","869","63","383","14780000","2976838.7280567582","0","0","0","0","0","0","1995","0","446","1278071.7597303302","75","0","25.78125"
