"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/22/2008 11:10:07.281","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/22/2008 11:10:08.296","0","0","512","921000","917480.88475804368","0","0","0","0","0","0","1365","0","494","428270.31445058068","0","0","18.461538461538463"
"07/22/2008 11:10:09.296","0","0","512","2644000","1722983.2874799245","0","0","0","0","0","0","1995","0","466","782015.41464011197","7","0","16.796880000000002"
"07/22/2008 11:10:10.296","0","0","512","4763000","2118942.4509617579","0","0","0","0","0","0","1995","0","466","864830.51179050491","37","0","16.796869999999998"
"07/22/2008 11:10:11.296","0","0","512","6698000","1934820.061395705","0","0","0","0","0","0","1995","0","462","771540.24662204797","72","0","15.625"
"07/22/2008 11:10:12.296","0","0","512","7886000","1188046.9578671218","0","0","0","0","0","0","1995","0","456","495055.56720093306","73","12800.505943349459","7.4218800000000034"
"07/22/2008 11:10:13.296","0","0","512","11180000","3293971.396690967","0","0","0","0","0","0","1995","0","455","1361272.179348229","73","0","19.53125"
"07/22/2008 11:10:14.296","0","0","512","14299000","3118927.0228307536","0","0","0","0","0","0","1995","0","454","1276626.1292911249","76","0","20.3125"
"07/22/2008 11:10:15.296","0","0","512","18192000","3892907.8036497142","0","0","0","0","0","0","1995","0","453","1611343.8382894127","76","0","23.4375"
"07/22/2008 11:10:16.296","0","0","512","22072000","3879913.6401312593","0","0","0","0","0","0","1995","0","452","1606491.2424069978","76","0","23.828119999999998"
"07/22/2008 11:10:17.296","0","0","512","25824000","3751910.833378322","0","0","0","0","0","0","1995","0","450","1547814.2151800289","76","8191.8053163739905","23.4375"
"07/22/2008 11:10:18.296","0","0","512","29640000","3815665.8323405953","0","0","0","0","0","0","1995","0","450","1574533.1058379449","76","0","23.4375"
"07/22/2008 11:10:19.296","0","0","512","33556000","3916176.8452299787","0","0","0","0","0","0","1995","0","446","1614276.8969043954","76","0","24.21875"
"07/22/2008 11:10:20.296","0","0","512","36552000","2995932.6868202728","0","0","0","0","0","0","1995","0","446","1233863.2773275545","76","0","24.609380000000002"
"07/22/2008 11:10:21.296","0","0","512","40453000","3900909.4280235171","0","0","0","0","0","0","1995","0","446","1608019.6647267912","76","0","24.609369999999998"
"07/22/2008 11:10:22.296","0","0","512","44284000","3830919.3851055619","0","0","0","0","0","0","1995","0","444","1583348.6812391581","76","4095.9138087685674","23.828130000000002"
"07/22/2008 11:10:23.296","0","0","512","48208000","3923908.8645901191","0","0","0","0","0","0","1995","0","435","1617568.4308904598","77","0","25.390619999999998"
"07/22/2008 11:10:24.296","0","0","512","51971000","3762901.8518625246","0","0","0","0","0","0","1995","0","435","1555672.4232438491","78","0","23.828130000000002"
"07/22/2008 11:10:25.296","0","0","512","55980000","4008797.6209115856","0","0","0","0","0","0","1995","0","435","1651363.6329911638","78","0","25.390619999999998"
"07/22/2008 11:10:26.296","0","0","512","57375000","1395007.2834996914","0","0","0","0","0","0","1995","0","432","575623.00539648195","79","0","25.390630000000002"
"07/22/2008 11:10:27.296","0","0","512","60657000","3281858.7113100486","0","0","0","0","0","0","1995","0","429","1297324.1483483945","88","12287.471006879305","21.484369999999998"
"07/22/2008 11:10:28.296","0","0","512","64682000","4024985.9229636602","0","0","0","0","0","0","1995","0","427","1657231.2039787646","88","0","24.609380000000002"
"07/22/2008 11:10:29.296","0","0","512","68711000","4028935.4026719201","0","0","0","0","0","0","1995","0","427","1653075.4956633798","88","0","25.390619999999998"
"07/22/2008 11:10:30.296","0","0","512","72689000","3977886.8319488321","0","0","0","0","0","0","1995","0","427","1635011.4850861221","88","0","24.609380000000002"
"07/22/2008 11:10:31.296","0","0","512","76550000","3860934.0858506728","0","0","0","0","0","0","1995","0","427","1587074.905341045","88","0","24.609369999999998"
"07/22/2008 11:10:32.296","0","0","512","80520000","3969466.8791933092","0","0","0","0","0","0","1995","0","413","1631973.8171161625","88","4095.4499589863462","24.609380000000002"
"07/22/2008 11:10:33.296","0","0","512","83800000","3280287.6453328454","0","0","0","0","0","0","1995","0","412","1341467.6320326866","88","0","25"
