"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/11/2008 11:50:37.531","0","0","0","0"," "," "," "," ","0"," "," ","0","0","0"," ","0"," "," "
"07/11/2008 11:50:47.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.60998489859595"
"07/11/2008 11:50:57.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.195312000000001"
"07/11/2008 11:51:07.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609375"
"07/11/2008 11:51:17.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.156250000000004"
"07/11/2008 11:51:27.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.609375"
"07/11/2008 11:51:37.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.101563000000002"
"07/11/2008 11:51:47.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.828125"
"07/11/2008 11:51:57.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.789062000000005"
"07/11/2008 11:52:07.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.546875000000004"
"07/11/2008 11:52:17.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.648437999999995"
"07/11/2008 11:52:27.546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.687499999999996"
