"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Collected)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Dirty)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Buffers (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events captured (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Entry, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Exit, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Events dropped (Unwind, Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Exception unwindings","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Failed chunk flushes (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Image Infos dropped (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Instrumented Routines Count","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Failed Alloc)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Prealloc. Pool (Free)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Reentrant executions (Delta)","\\JP-K2PBKEPVX84C\Kernel FBT Agent\Thread Teardowns","\\JP-K2PBKEPVX84C\LogicalDisk(F:)\Disk Write Bytes/sec","\\JP-K2PBKEPVX84C\Processor(_Total)\% Processor Time"
"07/31/2008 08:54:58.937","0","0","512","0"," "," "," "," ","0"," "," ","0","0","512"," ","0"," "," "
"07/31/2008 08:54:59.937","0","0","512","0","0","0","0","0","0","0","0","0","0","512","3.0288097028623775","0","0","0"
"07/31/2008 08:55:00.937","0","1","507","9000","8999.4548821049066","0","0","0","0","0","0","386","0","508","11600.297343033226","0","0","8.59375"
"07/31/2008 08:55:01.953","106","57","435","618000","599615.65080447309","0","0","0","1","0","0","386","0","492","614627.70306689641","25","6194508.1838221792","12.692302769230768"
"07/31/2008 08:55:02.968","272","39","444","1137000","511008.40965028125","0","0","0","7","0","0","386","0","483","530260.3314882234","62","9336231.95052463","13.846153846153841"
"07/31/2008 08:55:03.968","416","46","443","1727000","589984.67269948532","0","0","0","12","0","0","386","0","489","593651.57743641583","72","9359116.858096024","7.4218800000000034"
"07/31/2008 08:55:04.968","672","135","351","3135000","1407940.0761358822","0","0","0","20","0","0","386","0","486","1408575.04911056","72","16854322.656870268","16.796869999999998"
"07/31/2008 08:55:05.968","1193","103","382","5141000","2005801.1064056812","0","0","0","32","0","0","386","0","485","2007763.9117755089","72","34075341.117093429","26.171880000000002"
"07/31/2008 08:55:06.984","1584","93","392","6685000","1520310.4224557737","0","0","0","47","0","0","386","0","485","1523290.9792231142","74","0","21.53846153846154"
"07/31/2008 08:55:07.984","2035","2","483","8167000","1481956.4818382498","0","0","0","62","0","0","386","0","485","1479099.5657325736","74","36306389.850375876","17.1875"
"07/31/2008 08:55:09.000","2366","38","445","9665000","1474910.7443831612","0","0","0","71","0","0","386","0","483","1477518.9143176544","74","18454398.301437866","18.076918153846155"
"07/31/2008 08:55:10.015","2840","0","419","11712000","2015286.088115182","0","0","0","83","0","0","386","0","482","2015462.3148908403","74","21678941.440039456","27.307697230769236"
